marketplace	review_id	product_id	product_category	star_rating	year	month	review_date
US	R309OHHHR0U0WC	B007XKEY6Q	Mobile_Apps	5	2015	4	2015-04-10
JP	RCN8BVZ0FZ1BV	B00C1TV1EM	Toys	3	2013	4	2013-04-29
US	RDDDQ43WV7B53	B009UX2YAC	Mobile_Apps	5	2014	10	2014-10-25
US	R37ED37WDFFF2F	B00I8Q77Y0	Mobile_Apps	5	2014	3	2014-03-16
US	R12PT37LHZSH8C	B008Y2FRFO	Mobile_Apps	5	2012	11	2012-11-24
US	R224NB6DMLJTQ5	B00OKYQZDI	Mobile_Apps	5	2015	3	2015-03-24
UK	RU2JA05OSVYYD	B008Y2FRFO	Mobile_Apps	5	2013	2	2013-02-14
US	R39AYOLVA41O4J	B007SYWFRM	Mobile_Apps	5	2012	5	2012-05-03
US	RVX7Y0CKSFITG	B00BMR5HOO	Mobile_Apps	1	2013	3	2013-03-22
US	R25NRX4G5W5MZV	B004FRX0MY	Mobile_Apps	5	2015	6	2015-06-23
US	R1MLX14D0ID40M	B004SJ3AXI	Mobile_Apps	4	2012	11	2012-11-21
US	RHB59VTNX17IV	B00IEBE7GK	Mobile_Apps	5	2014	8	2014-08-07
US	R334LGVWL17N8W	B00FAPF5U0	Mobile_Apps	5	2015	1	2015-01-02
US	R2XQFA1NMYXFFZ	B0064X7FVE	Mobile_Apps	1	2013	11	2013-11-03
US	RQXH4GJQU4FF6	B007EC27QM	Mobile_Apps	5	2014	12	2014-12-21
US	R2NH34G4H6BZGJ	B0058VW36U	Mobile_Apps	5	2015	3	2015-03-20
US	R35GVSYAXOH5HP	B00E8KLWB4	Mobile_Apps	3	2015	7	2015-07-24
US	R1788SE1LQ9TFX	B002EEP3NO	Toys	5	2010	10	2010-10-04
US	RHI72H76RM4V1	B009UX2YAC	Mobile_Apps	4	2015	4	2015-04-09
US	RT5PET8FY9AA3	B00U7VDC7A	Mobile_Apps	4	2015	3	2015-03-18
US	R2KM4X5DLSD8N3	B009RH9FR6	PC	4	2013	7	2013-07-11
US	R2O0FBHG8MZX53	B004OZOTSQ	Mobile_Apps	5	2011	8	2011-08-12
US	R2UUCHX3GQJNQB	B0088XXCZ6	Digital_Music_Purchase	5	2013	2	2013-02-03
US	R3PT99DTJO7WA7	B008K8VDPU	Mobile_Apps	1	2015	7	2015-07-20
US	RWZVY9BRO534W	B00G5AVM3S	Mobile_Apps	5	2014	10	2014-10-30
US	R1G1G6VMUUNZR8	B0089ZEEYG	Mobile_Apps	5	2014	9	2014-09-04
US	R3DF5Y5YZL43X0	B000TQ0EIS	Digital_Music_Purchase	2	2013	8	2013-08-26
DE	R2SJK1D47HQA0K	B00B0ICYP0	Toys	5	2015	4	2015-04-03
DE	R3AK864BFPA037	B00ICF0OZQ	Toys	5	2015	1	2015-01-18
US	R32VYMWEYS35NS	B00HH0BTFQ	Mobile_Apps	3	2014	3	2014-03-09
US	R32HKP2JNTY43G	B00881VLCE	Mobile_Apps	3	2013	6	2013-06-23
US	R28S36H6HCI6A5	B00B2V66VS	Mobile_Apps	5	2013	2	2013-02-28
JP	RGASGKSS7AZRA	B00933JL0A	Mobile_Apps	5	2015	1	2015-01-12
US	R2ESKBZUIA3YSJ	B0086700CM	Mobile_Apps	5	2012	6	2012-06-01
US	R1WO0SCW2NJDS9	B00KA87GCW	Mobile_Apps	4	2015	8	2015-08-31
US	R3KQW4346RM7V4	B00881VLCE	Mobile_Apps	4	2014	4	2014-04-30
US	RK2FBTCQYC2PC	B00KNWYDU8	Mobile_Apps	5	2015	6	2015-06-15
US	R3RRUMUFT1Y7KN	B0086700CM	Mobile_Apps	4	2012	6	2012-06-25
US	R25LDXCN2TG2Q3	B00881PTRC	Mobile_Apps	4	2013	5	2013-05-23
US	R2LMGUM1D4OB82	B00F8L2VO4	Mobile_Apps	5	2014	1	2014-01-29
US	RPSVNBYOYZW47	B00EEDJM2Q	Mobile_Apps	5	2014	1	2014-01-18
US	R3K3GVZT8XFW1R	B00E8KLWB4	Mobile_Apps	1	2014	7	2014-07-08
UK	R2O91Z9VTJO43Z	B00CUB5PNY	Mobile_Apps	5	2013	9	2013-09-29
US	R2IW0QHQA5NPOS	B00IEBE7GK	Mobile_Apps	5	2014	3	2014-03-07
US	R2A03F5MIIUMB0	B00FAPF5U0	Mobile_Apps	5	2014	7	2014-07-09
UK	R1N83MBWVYGDD3	B008RA3X5E	Mobile_Apps	1	2013	9	2013-09-01
US	RVFJKS853223F	B007ZGO7EM	Mobile_Apps	5	2013	5	2013-05-14
US	R1FM2UZD2QQCLM	B00992CF6W	Mobile_Apps	5	2013	2	2013-02-14
US	R1P73EPOA2MUJH	B00JOT3HQ2	Mobile_Apps	5	2015	8	2015-08-07
US	R3VL97SKXSVZ1K	B009Y2KGSQ	Digital_Music_Purchase	4	2013	1	2013-01-04
US	R3EZ1YQ77NXRQT	B000EUDAWG	Toys	4	2014	6	2014-06-17
US	RQMQ5SVLP93AP	B00NTWTKCA	Digital_Music_Purchase	5	2015	3	2015-03-28
US	REPGC23TX878J	B00PTB7B34	Mobile_Apps	5	2014	12	2014-12-06
US	R2JNED0JY0NCAR	B004SBS8LA	Mobile_Apps	5	2011	8	2011-08-02
US	R3GGOUB171BOX5	B00ETADXY2	Mobile_Apps	5	2014	1	2014-01-11
UK	R3PY2Q28EVRYES	B0078J67QW	Toys	5	2013	2	2013-02-07
UK	R3PDIH4RUBLNTE	B0054XOMX4	Toys	5	2012	3	2012-03-07
US	RTKQQF0CECCYZ	B0069G5Z9K	Mobile_Apps	5	2012	9	2012-09-09
US	R31W6JWF65ZA9H	B00BWBHIUG	Mobile_Apps	5	2013	5	2013-05-09
US	R2LYT286GM3QXY	B00881VLCE	Mobile_Apps	2	2015	6	2015-06-09
US	R1ND9VNPY1YQCO	B004SYP5WC	Mobile_Apps	5	2012	9	2012-09-17
US	R1PHJXVXOAH61X	B00K7C17QW	Mobile_Apps	1	2014	10	2014-10-23
US	RNGRKZNIWZ74R	B007BFSYMS	Mobile_Apps	5	2014	8	2014-08-25
US	R2C0OEMVHCNBT3	B0091REZMW	Mobile_Apps	4	2013	8	2013-08-03
US	R2R81MBN4ZK8AE	B000V6U89Q	Digital_Music_Purchase	5	2012	12	2012-12-21
US	R2X1BPQ1XOD3FC	B00FAPF5U0	Mobile_Apps	3	2014	1	2014-01-03
US	RTSO3IJ5PKZVC	B004J1DBJI	Mobile_Apps	4	2015	5	2015-05-03
US	R9XPAUW08DLDT	B00CWY76CC	Mobile_Apps	5	2015	6	2015-06-21
US	R1BQCKQDRU5PVB	B00FAPF5U0	Mobile_Apps	5	2013	10	2013-10-27
UK	R15SDNXTKQOPSH	B0063GORYU	Mobile_Apps	5	2015	8	2015-08-29
UK	R2PWXJ79XG875H	B000246JEK	Toys	5	2014	6	2014-06-15
US	R11JRKVD1UQO66	B00881VLCE	Mobile_Apps	1	2015	6	2015-06-10
US	R1CRPESONMPPJM	B00B2V66VS	Mobile_Apps	4	2014	3	2014-03-30
UK	R3JXFDYFOL843R	B00KD97I80	Mobile_Apps	1	2014	6	2014-06-29
UK	R2O4TL3LOUEA02	B00DUGCLY4	Mobile_Apps	4	2014	3	2014-03-26
JP	R100XAAM69Q5CL	B004LOMB2Q	Mobile_Apps	4	2013	2	2013-02-21
US	R2A6T3D8WS0AG1	B00QW8TYWO	Mobile_Apps	5	2015	7	2015-07-17
US	R1IEJUDGNVQ3SB	B00LXLM05I	Mobile_Apps	5	2015	6	2015-06-16
US	RF2NKP3ZKASF3	B00AREIAI8	Mobile_Apps	5	2014	1	2014-01-29
DE	R33HRP1J0SABD8	B000NWJI6C	Office Products	4	2013	1	2013-01-05
US	R2RN94336X1MB8	B00881VLCE	Mobile_Apps	5	2012	8	2012-08-25
US	R2KV7WATG453Q9	B00DJFIMW6	Mobile_Apps	4	2014	11	2014-11-24
US	R1KSG0BX38ZQAC	B008NABUU8	Mobile_Apps	1	2012	11	2012-11-07
UK	R2SPN4R5TYY2YM	B008L2RNNG	Digital_Music_Purchase	5	2015	6	2015-06-19
US	RBGJMQA1WHTS2	B00IG2DOKM	Mobile_Apps	5	2014	7	2014-07-03
UK	R4VNJBWO3S9OM	B0006HBERA	Toys	5	2015	2	2015-02-16
UK	R371XKTA9Q8521	B0002HY750	Toys	5	2014	1	2014-01-03
UK	R1HACPI4AP9Q7Q	B001EZH0GW	Digital_Music_Purchase	1	2011	2	2011-02-02
US	R3PTNS6QHIPUPI	B009T8XBBO	Mobile_Apps	2	2015	5	2015-05-30
UK	R13DPIY0BLG2A9	B005K2YRVG	PC	4	2012	4	2012-04-21
US	RLDSSTZ6CRARC	B00F7YHDWC	Mobile_Apps	4	2013	10	2013-10-21
US	R2L4YUQGQPDJ9	B00IINPXLW	Mobile_Apps	5	2014	9	2014-09-13
US	RT9MF8QA0LXOI	B005HSL626	Mobile_Apps	5	2014	7	2014-07-30
US	R2GX74594EQ6QF	B00874T02K	Mobile_Apps	5	2014	12	2014-12-23
UK	R2ZHB1PMAHYN5T	888370536X	Office Products	5	2013	11	2013-11-17
US	RWMK9BPC047JB	B004GJDQT8	Mobile_Apps	5	2015	8	2015-08-02
US	R3LAEJZQ5M5WWG	B00FAPF5U0	Mobile_Apps	1	2014	9	2014-09-02
US	R9AU5X1BCOCQH	B00FF7FNH8	Mobile_Apps	1	2015	6	2015-06-18
US	RRIB0FFYQBMWC	B00E8KLWB4	Mobile_Apps	4	2014	12	2014-12-30
UK	RCNZTKFP3UW99	B00012BSHG	Toys	4	2011	8	2011-08-25
UK	R1UXZLWEU2C0QI	B009KS4XRO	Mobile_Apps	5	2015	2	2015-02-23
UK	R372AW2N6C2JLD	B0097C8XL0	Mobile_Apps	4	2013	6	2013-06-17
US	R1WV8L8B4ATFVO	B00N57VBRG	Mobile_Apps	5	2015	1	2015-01-16
US	R1TKL8690XFIDT	B0069G5Z9K	Mobile_Apps	5	2012	8	2012-08-22
US	R2EGN51CVF6OON	B00F02YS5Q	Digital_Music_Purchase	5	2015	1	2015-01-05
US	R1D5YZ8N432QFX	B004EBZX6W	Mobile_Apps	5	2013	6	2013-06-26
DE	R309ASIVZBYJHL	B00QW8TYWO	Mobile_Apps	5	2015	5	2015-05-20
UK	RBGAX66U5N0XK	B00E9A656K	Mobile_Apps	4	2015	3	2015-03-31
UK	R2LF0D1GQQZ0EZ	B0083GVKMU	Digital_Music_Purchase	5	2013	8	2013-08-11
US	R7EAXA72R5WD8	B00AIQP9DE	Mobile_Apps	4	2013	6	2013-06-12
US	R3TC0QGA7AGI2M	B0067RQYNW	Mobile_Apps	1	2015	5	2015-05-12
US	R3T4DV4HIU46CS	B004UID2LC	Mobile_Apps	2	2012	9	2012-09-28
DE	R2KVQPEVNHDFOO	B007V693YK	Mobile_Apps	5	2014	12	2014-12-18
US	RN10RODP2IFVU	B009NQLT0M	PC	5	2014	12	2014-12-11
US	R1X73QD2ND15UP	B009PNQUXO	Mobile_Apps	2	2013	9	2013-09-26
US	R347SREZ8BDH2M	B0063IH60K	Mobile_Apps	5	2012	3	2012-03-12
US	R3GZEARAMNZ6DD	B00E8KLWB4	Mobile_Apps	5	2015	1	2015-01-10
US	RT6T0K727AEVN	B00DVKOYBM	Mobile_Apps	4	2014	4	2014-04-06
US	R3BTGTHT3KK804	B00FATEJYE	Mobile_Apps	4	2014	12	2014-12-30
US	R2NSGVVNPYISPN	B00E8KLWB4	Mobile_Apps	2	2014	12	2014-12-25
JP	R3U9H1276XJPAI	B00B4BJY7E	PC	5	2014	9	2014-09-28
US	R37BCS1TX6ZEFE	B004VYYA2K	Toys	5	2015	1	2015-01-30
US	R331WN4J04RV7L	B00DJFIMW6	Mobile_Apps	5	2014	9	2014-09-12
US	R25JEHDV8XP10N	B009DCOU9S	Mobile_Apps	5	2013	8	2013-08-08
US	R13E67NJTZPJ3J	B00DJFIMW6	Mobile_Apps	5	2014	9	2014-09-05
US	R1Y6TCRJLQHZRF	B004H1V5RU	Toys	5	2014	9	2014-09-21
US	RIUZSIHRNUZZU	B009EEFTMC	Mobile_Apps	5	2013	10	2013-10-11
DE	R11G5Z3ECZS3RV	B003H9MSPG	Toys	3	2013	6	2013-06-28
FR	R1T358RSTRK8F9	B00E7PQVHK	Mobile_Apps	5	2015	3	2015-03-14
DE	R3LHE1NLC6NOKY	B0002HYHBE	Toys	5	2009	8	2009-08-24
US	R1H8ZK8OMIYKGZ	B00881PTRC	Mobile_Apps	4	2014	1	2014-01-12
US	R1HIKRKX9V4BU8	B0092S4WLY	Mobile_Apps	1	2013	3	2013-03-29
US	RDIFYUAUKOUM1	B00IS87HYI	Mobile_Apps	3	2014	11	2014-11-13
US	R2NPXDTM5IGAQ9	B00FAX6XQC	Mobile_Apps	5	2015	3	2015-03-08
US	R2C8P7836AUT6Q	B00FAX6XQC	Mobile_Apps	5	2014	11	2014-11-22
DE	RX53QEJEZQXOL	B006BGZJJ4	PC	5	2014	5	2014-05-05
US	ROGAXU5F2T7K4	B00F7YHDWC	Mobile_Apps	5	2014	1	2014-01-25
US	R3N6TMXTEV41SR	B00FRQ32N4	Mobile_Apps	1	2013	12	2013-12-29
US	R1W4SC8YRB1GOP	B00J3AW23G	Mobile_Apps	5	2014	8	2014-08-21
US	R2WZUTRN3AJ8JA	B00ATDOVNK	Mobile_Apps	5	2013	11	2013-11-14
JP	R1XAEZKU1CP84	B004EBZX6W	Mobile_Apps	3	2014	7	2014-07-17
UK	R1DAHNBB1SM3FZ	B00B7Y0206	Mobile_Apps	3	2013	5	2013-05-19
US	R3JVMDXKXD2JBG	B00AF6MF9I	Mobile_Apps	5	2013	2	2013-02-15
US	R84GQET1K3X02	B00E8KLWB4	Mobile_Apps	4	2014	11	2014-11-18
UK	R22NUQH3A7QMI9	B00F3B3IW8	Toys	5	2014	10	2014-10-31
DE	R1CX07HZHH9MKN	B004SIIBGU	Mobile_Apps	5	2012	11	2012-11-30
US	R2P7WTZZRLLKMK	B00NLBJ45M	Mobile_Apps	5	2015	1	2015-01-08
DE	R21CY7OBPTVI0R	B001U3Y5XE	Toys	4	2013	1	2013-01-03
UK	R1G1T7PO8BQBJP	B00FHB7398	Mobile_Apps	1	2015	3	2015-03-21
DE	R2LMM2UTDBVY6Z	B00000IUT7	Toys	4	2011	1	2011-01-15
US	R2CVBAFDWKX098	B00FVVR2ZO	Mobile_Apps	3	2014	11	2014-11-26
UK	R30GL5LDYCENM8	B000TNI370	Toys	1	2014	11	2014-11-08
US	RPQQX9KT5LEQ6	B00MJVNNRU	Digital_Music_Purchase	5	2014	10	2014-10-13
US	RFY1VMOKU97W1	B0055SWM08	Mobile_Apps	5	2012	3	2012-03-13
US	R2HEA9UT5YSC8Z	B009KS4XRO	Mobile_Apps	4	2015	3	2015-03-31
US	R146CAFO9VNMDQ	B00E3BK0QQ	Mobile_Apps	5	2013	9	2013-09-26
US	R3S4IFZNKNK9W5	B007QXWV1U	Mobile_Apps	5	2015	3	2015-03-29
US	R2Y5MD7BN3QCR6	B0086700CM	Mobile_Apps	5	2012	5	2012-05-27
US	R22XYV8HO73NDI	B00JOT3HQ2	Mobile_Apps	5	2014	10	2014-10-07
US	R3O9YLPMYLJNRZ	B007V693YK	Mobile_Apps	4	2014	12	2014-12-18
UK	RWGPIBNVINBMC	B00FEMJF6O	Mobile_Apps	4	2014	3	2014-03-05
US	R1WONIIXOJY9DR	B00B7Y0206	Mobile_Apps	5	2015	4	2015-04-11
US	R2IN3LPXT36Z3S	B00JOT3HQ2	Mobile_Apps	5	2014	9	2014-09-27
US	R3TTC2YZQ96PK9	B00PSID6ZK	Mobile_Apps	3	2015	3	2015-03-29
US	REFW0DLEQ2SF7	B0091REZMW	Mobile_Apps	4	2014	9	2014-09-15
US	ROKP141XQYYZP	B00E8KLWB4	Mobile_Apps	3	2014	11	2014-11-20
US	R2H9XKZXG2BIV	B00D2HTRVQ	Mobile_Apps	4	2013	6	2013-06-17
FR	RWB181EDNUTX0	B00H1MDH3W	Mobile_Apps	5	2014	11	2014-11-07
US	R20DWA4EILBBZX	B0051QIGP4	Digital_Music_Purchase	5	2011	5	2011-05-23
US	R1IORC4E9V1BBI	B007FY9ZWI	Mobile_Apps	4	2014	12	2014-12-13
US	R2G5WEO97F0J9G	B00FAX6XQC	Mobile_Apps	1	2014	6	2014-06-08
UK	R3C4EGT1PV0I0K	B00JGUI66A	Mobile_Apps	5	2014	4	2014-04-27
US	R3T5EG9BHYOXX4	B0014KFV6I	Digital_Music_Purchase	5	2013	2	2013-02-27
US	R3I2WGWTTO3KRA	B00AREIAI8	Mobile_Apps	5	2013	1	2013-01-26
UK	R13N785GBG6RQ9	B00AECGQF2	Mobile_Apps	1	2012	12	2012-12-26
UK	R2NL43AU3IXJUE	B00FWYFX6U	Mobile_Apps	3	2014	10	2014-10-01
US	RKSIUJDPOM0ZZ	B00992CF6W	Mobile_Apps	4	2014	7	2014-07-17
UK	R23EPHX8IUBG1O	B00B22IJXK	Mobile_Apps	2	2013	4	2013-04-26
US	R31F7T0GKHN0ZL	B00F4PM6WG	Mobile_Apps	3	2014	7	2014-07-02
US	R2GDAGJ4YTBPF0	B00EEL0LGY	Mobile_Apps	5	2015	3	2015-03-01
DE	R1FEY57I928OKH	B00C5XBAOA	Toys	5	2015	6	2015-06-17
US	R1GX2LGWXTY750	B00JRAYXIE	Mobile_Apps	1	2014	6	2014-06-10
US	RIY803UH1SRAU	B004UNX1LS	Mobile_Apps	4	2015	4	2015-04-04
US	R1H258SO63QT1	B00138GZAC	Digital_Music_Purchase	5	2013	6	2013-06-24
US	R3QM910QRHDEX7	B00IX035QA	Mobile_Apps	5	2014	11	2014-11-09
US	R4IMR5QP236UY	B008Y212PI	Mobile_Apps	4	2013	10	2013-10-03
UK	R32YPACSN43BKH	B008K8VDPU	Mobile_Apps	5	2014	5	2014-05-31
UK	R3M8DOEOVUKHZK	B00A3T5CGU	Mobile_Apps	1	2015	6	2015-06-02
US	R211BOY1FIAVIZ	B00CW6DAKC	Mobile_Apps	2	2014	1	2014-01-23
US	R310B6P5ZC04XX	B007ZGO7EM	Mobile_Apps	5	2015	1	2015-01-02
US	R34YPR95DSC43S	B00992CF6W	Mobile_Apps	5	2014	1	2014-01-23
US	R13066BUC5OLHV	B004Q1FDHO	Mobile_Apps	1	2015	5	2015-05-10
US	REHZMP7MICVNM	B00B7Y0206	Mobile_Apps	1	2013	7	2013-07-27
US	RDJ5T5ZTSS7K6	B00BJ9VBLI	Mobile_Apps	4	2014	3	2014-03-07
US	R3VCB5VZCEFQRB	B00FB13Y74	Mobile_Apps	5	2013	12	2013-12-25
US	R2NXQA4NR7JT7A	B008YU0AOE	Mobile_Apps	4	2013	6	2013-06-20
US	R17S42OK7DL6SM	B00I6IKSZ0	Mobile_Apps	5	2014	6	2014-06-25
US	R2BX5VXUID7GPU	B00992CF6W	Mobile_Apps	5	2015	5	2015-05-19
US	RP64LMIJA98TQ	B00E8KLWB4	Mobile_Apps	4	2015	6	2015-06-13
US	R23IE02XNJ0HS3	B00CH87HF4	Mobile_Apps	5	2015	1	2015-01-23
US	R69TLV41M0IU0	B004T2QZL8	Mobile_Apps	5	2012	12	2012-12-13
US	R1LDLI37YL19PM	B00QW8TYWO	Mobile_Apps	5	2015	7	2015-07-11
UK	R1MHRRNQ8YZKO1	B00O6Y7JGY	Digital_Music_Purchase	5	2015	7	2015-07-26
US	R3JPAWZQBAL4QL	B00FAPF5U0	Mobile_Apps	3	2013	12	2013-12-14
US	R1A1Q8GWUXJ9KV	B00CSR2J9I	Mobile_Apps	4	2014	7	2014-07-24
US	R3HUC9N1OASYH7	B008JGSM6G	Mobile_Apps	5	2013	3	2013-03-19
US	R27ZCZ19851P1X	B00DQEB1V4	PC	2	2014	5	2014-05-01
US	R2WRZLTDE4O56M	B00DOPEGAS	Toys	5	2013	12	2013-12-09
US	R13LKD1XXQHGBR	B00IKZX1ZI	Mobile_Apps	4	2014	3	2014-03-30
US	R1OVNPPWC07Y5F	B009UX2YAC	Mobile_Apps	5	2013	2	2013-02-18
US	R26NX8O7F7I88O	B00AHQNHSY	Mobile_Apps	4	2013	8	2013-08-14
UK	R3630FGLF6IRN9	B008K6HN8I	Mobile_Apps	5	2014	12	2014-12-18
US	R21ECO5056KUJ2	B00992CF6W	Mobile_Apps	5	2015	5	2015-05-06
DE	R1U0FODGWIK1XF	B0098XZHSU	Mobile_Apps	1	2013	8	2013-08-28
US	RANRQA6UDL6ZB	B006KX3GXO	Mobile_Apps	5	2013	11	2013-11-06
US	R1HS2R9OIM0F7V	B00OJ92MNQ	Mobile_Apps	5	2015	7	2015-07-13
US	R1RPISY0C2PA7D	B009EEFTMC	Mobile_Apps	5	2013	4	2013-04-04
US	R28PQ5D6MY9J20	B00K7C17QW	Mobile_Apps	5	2014	6	2014-06-06
US	R130E2PYAOLS8X	B00CWY76CC	Mobile_Apps	4	2013	6	2013-06-29
UK	R3J2R4TGZX4AYT	B0063M22QO	Mobile_Apps	5	2014	6	2014-06-14
US	RGLI93BCLNP3Y	B00KNWYDU8	Mobile_Apps	5	2015	6	2015-06-25
US	R1XAQIA6QEX58X	B004Y1WCDE	Mobile_Apps	5	2015	2	2015-02-12
US	R2SDWRPTB9LL0	B00MVSCI18	Digital_Music_Purchase	5	2014	11	2014-11-14
UK	R30VUBF5D4S58D	8866131059	Office Products	5	2013	1	2013-01-05
US	R29RGQYD7TKJPH	B007VDN1PA	Office Products	5	2013	8	2013-08-28
US	R281Q4FIC05N1O	B008Y212PI	Mobile_Apps	5	2013	10	2013-10-05
JP	R2FGQ6LAJ1ZJIJ	B001B6EAOY	PC	3	2012	3	2012-03-21
UK	R1V8HGUJMGJVBR	8866130907	Office Products	4	2013	1	2013-01-14
US	R2BNHTZFW7IILD	B007BZM3HK	Digital_Music_Purchase	5	2012	11	2012-11-11
US	RN4FLDSL5CF0F	B008Y2FRFO	Mobile_Apps	4	2013	1	2013-01-04
US	R2H4QWWWSXR81I	B00910Y1OQ	Mobile_Apps	3	2012	10	2012-10-16
US	R34MHJZCKUU3P4	B004T2QZL8	Mobile_Apps	3	2012	3	2012-03-28
US	R67ENWP683JJV	B00DHKKN6Q	Mobile_Apps	5	2014	7	2014-07-19
US	R2AUJFSKR3L2CJ	B007V2UGPE	Mobile_Apps	4	2012	4	2012-04-24
US	R32BZ01DQ4SXST	B007N85POS	Mobile_Apps	5	2012	12	2012-12-30
US	R7X8VBMLXJVR2	B0073LWEXK	Mobile_Apps	4	2012	12	2012-12-04
US	RHXHRCDE5D49D	B007N5YIUS	Mobile_Apps	5	2012	8	2012-08-20
US	RDYOZP8N9RBKG	B007ZGO7EM	Mobile_Apps	5	2013	3	2013-03-29
US	R1XN99LPSQLYQH	B00CSR2J9I	Mobile_Apps	5	2013	7	2013-07-22
US	R130P0KSDAPX50	B00MB8P1OO	Mobile_Apps	4	2014	10	2014-10-05
US	R2684BNCC3D2F1	B005HSL626	Mobile_Apps	5	2013	7	2013-07-19
UK	R1Z2I89VO704N	B009YR1MZ2	Digital_Music_Purchase	5	2014	11	2014-11-29
US	RXKVQJZ36I3ZH	B007N5YIUS	Mobile_Apps	1	2012	3	2012-03-26
US	R7T8QVAG4PG3E	B0067RQYNW	Mobile_Apps	4	2013	6	2013-06-10
