"review","brand","variety","style","country","stars"
2500,"The Ramen Rater Select","Supreme Creamy Tom Yum Noodle","Box","Malaysia",5
2499,"KOKA","Creamy Soup With Crushed Noodles Chicken Flavor","Cup","Singapore",5
2491,"Nissin","Soba Yakitori Chicken","Cup","Germany",5
2489,"Nissin","Cup Noodles Ente (Duck)","Cup","Germany",3
2485,"Nissin","Cup Noodles Shrimps","Cup","Germany",3
2484,"Nissin","Demae Ramen Tokyo Soy Sauce","Pack","Germany",4
2483,"Paldo","Bul Jjamppong","Bowl","South Korea",5
2479,"E-Zee","Instant Noodles Chicken Flavour","Pack","Malaysia",4
2478,"Kiki Noodle","Scallion Oil & Soy Sauce Noodle","Pack","Taiwan",5
2477,"Kiki Noodle","Sichuan Spices Flavor Noodle","Pack","Taiwan",5
2476,"Samyang Foods","Kimchi Stew Ramyun","Bowl","South Korea",4
2473,"Tokyo Noodle","Mini Instant Noodle Mild Curry Flavor","Pack","Japan",2
2471,"Nissin","Cup Noodles Mini Seafood Flavour","Cup","Hong Kong",5
2466,"Sau Tao","Instant Noodle King Pepper Duck Flavour Soup","Pack","Hong Kong",4
2464,"Wang","Extreme Spicy Hot Chicken Flavor Udon","Bowl","South Korea",2
2462,"TTL","Sesame Oil Chicken Noodle With Rice Wine","Bowl","Taiwan",5
2460,"Daifuku","Katsuo Bowl Udon","Bowl","USA",5
2455,"KOKA","Creamy Soup With Crushed Noodles Sweet Corn Flavor","Cup","Singapore",5
2452,"KOKA","Signature Laksa Singapura Instant Noodles","Bowl","Singapore",5
2451,"KOKA","Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles","Pack","Singapore",5
2450,"KOKA","Purple Wheat Noodles Chili & Lime Flavor","Pack","Singapore",4
2449,"KOKA","Delight Tomato Flavor Instant Non-Fried Noodles","Pack","Singapore",5
2447,"KOKA","Signature Stir-Fry Original Flavor Instant Noodles","Pack","Singapore",3
2446,"KOKA","Creamy Soup Witrh Crushed Noodles Curry Flavor","Cup","Singapore",5
2444,"KOKA","Silk Spicy Marinara Instant Rice Fettuccine","Bowl","Singapore",5
2441,"MyKuali","Penang Hokkien Prawn Flavor Noodle","Box","Japan",5
2439,"Uni-President","Man Han Feast Super Hot Pot Beef Flavor Instant Noodles","Bowl","Taiwan",5
2438,"World O' Noodle","Mi Goreng Original Flavour Fried Noodles","Pack","Indonesia",5
2430,"MyKuali","MeeKuali Bihun Sup Rempah Perisa Daging","Pack","Malaysia",5
2429,"New Touch","T's Restaurant Sura Tanmen","Cup","Japan",4
2428,"TTL","Sesame Oil Chicken With Rice Wine Noodle","Bowl","Taiwan",5
2426,"Dr. McDougall's","Vegan Pad Thai Noodle Soup","Cup","USA",0
2425,"Nissin","Seafood Flavour Rice Vermicelli","Cup","Hong Kong",5
2421,"Uni-President","Baseball Snack Noodle","Pack","Taiwan",5
2419,"MyKuali","Penang Red Tom Yum Goong","Box","Japan",5
2415,"Nissin","Kitsune Udon Donbei (West)","Bowl","Japan",5
2414,"Little Cook","Thailand Green Curry Instant Noodle","Bowl","Taiwan",5
2405,"Nissin","Cup Noodles Mini Spicy Seafood","Cup","Hong Kong",4
2404,"MyKuali","Penang Hokkien Prawn Noodle Soup","Pack","Singapore",5
2401,"Sichuan Baijia","Chongqing Noodles Burning Dry Noodles","Bowl","China",5
2400,"Nissin","Cup Noodles Tom Yam Seafood Flavour","Cup","Singapore",5
2399,"Indomie","My Noodles Mi Goreng Pizza Cheese","Pack","Indonesia",4
2398,"Liang Cheng Mai","Shaanxi Cold Noodle: Mustard Spicy","Tray","China",1
2397,"Samyang Foods","Cheese Buldak Bokkeummyun (Black)","Bowl","South Korea",4
2393,"Ripe'n'Dry","Hokkaido Miso Ramen","Pack","Japan",3
2392,"MyKuali","Penang Red Tom Yum Goong Rice Vermicelli Soup","Bowl","Malaysia",5
2391,"Ottogi","Jin Jjambbong Spicy Seafood Ramyun","Pack","South Korea",5
2389,"Gefen","Imitation Chicken Flavor","Cup","USA",4
2386,"Maggi","2 Minute Noodles Curry Flavour","Pack","Fiji",4
2377,"MyKuali","Penang White Curry Instant Noodle (Japan Version)","Box","Malaysia",5
2375,"Uni-President","Man Han Feast Braised Pork Flavor Instant Noodles","Bowl","Taiwan",5
2372,"Liu Quan","Instant Spicy Rice Noodle","Bowl","China",4
2367,"Samyang Foods","2x Spicy Haek Buldak Bokkeummyun","Pack","South Korea",4
2366,"Samyang Foods","Buldak Bokkeummyun Snack","Pack","South Korea",5
2365,"Samyang Foods","Stew Buldak Bokkeumtangmyun","Pack","South Korea",5
2364,"Samyang Foods","Cheese Buldak Bokkeummyun","Pack","South Korea",4
2363,"Samyang Foods","Buldak Bokkeummyun (New Packaging)","Pack","South Korea",4
2362,"Chuan Wei Wang","Bowl Instant Noodles Artificial Spicy Beef Flavor","Bowl","China",4
2361,"Nissin","Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle)","Bowl","Hong Kong",5
2360,"Wai Wai","Instant Noodles Artificial Chicken Flavoured","Pack","India",2
2359,"Daikoku","Kitsune Udon","Cup","Japan",2
2358,"Sichuan Baijia","Pickled Cabbage Flavor Instant Vermicelli","Bowl","China",4
2357,"Kamfen","Noodle King Artificial Wonton Soup Flavored","Bowl","Hong Kong",5
2356,"Nongshim","Spicy Shrimp Cup Noodle","Cup","South Korea",4
2355,"Marutai","Nagasaki Agodashi Shoyu Ramen","Pack","Japan",4
2354,"Vifon","Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli","Bowl","Vietnam",5
2353,"Nissin","Cup Noodles Rich Garlic, Egg Yolk & Oxtail","Cup","Japan",4
2352,"Uni-President","Minced Pork Flavor Instant Noodles","Pack","Taiwan",1
2351,"1 To 3 Noodles","Chatpat Masala","Pack","India",4
2350,"Nissin","Cup Noodles BIG XO Sauce Seafood Flavour","Cup","Hong Kong",4
2349,"Fantastic","Noodles Chicken & Corn Flavour","Cup","Australia",3
2348,"Ripe'n'Dry","Hokkaido Salt Ramen","Pack","Japan",3
2347,"Nissin","Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle)","Bowl","Hong Kong",3
2346,"Knorr","Chatt Patta Instant Noodles","Pack","Pakistan",1
2345,"Sempio","Clam Flavor Soup Kal-guksu","Pack","South Korea",5
2344,"Nissin","Cup Noodles Sopa Nissin Sabor A Pollo","Cup","Mexico",4
2343,"Nissin","Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne","Cup","Mexico",4
2342,"Nissin","Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen","Pack","Mexico",4
2341,"Nissin","Cup Noodles Sopa Nissin Sabor A Carne De Res","Cup","Mexico",4
2340,"Nissin","RapiFideo Sabor A Tomate Y Pollo","Cup","Mexico",4
2339,"Nissin","Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon","Cup","Mexico",3
2338,"Nissin","Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen","Pack","Mexico",4
2337,"Nissin","Cup Noodles Sopa Nissin Con Camaron","Cup","Mexico",3
2336,"Nissin","Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante","Cup","Mexico",3
2335,"Nissin","Cup Noodles Gourmet Sabor A Caldo De Camaron","Cup","Mexico",5
2334,"Nissin","Sopa Nissin Sabor Mariscos, Habanero Y Limon","Cup","Mexico",4
2333,"Nissin","Maxi Sopa Nissin Cuchareable Sabor A Pollo","Cup","Mexico",4
2332,"Nissin","Sopa Nissin Sabor A Res Instantanea Tipo Ramen","Pack","Mexico",4
2331,"Nissin","Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo","Cup","Mexico",4
2330,"Ve Wong","Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor","Pack","Taiwan",4
2329,"Patanjali","Atta Noodles Jhatpat Banao Befikr Khao","Pack","India",5
2328,"Qin Zong","Shaanxi Cold Noot Hot & Sour Flavor","Pack","China",3
2327,"Nissin","Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe)","Cup","USA",4
2326,"Nissin","Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle","Cup","Hong Kong",4
2325,"Pran","Mr. Noodles Curry Flavor Instant Noodles","Pack","Bangladesh",4
2324,"Paldo","Bul Jjajangmyeon","Pack","South Korea",5
2323,"Ogasawara","Kirin Giraffe Shio Ramen","Pack","Japan",5
2322,"Sapporo Ichiban","Mie Kamayama Ramen Gyukotsu Misoaji","Bowl","Japan",3
2321,"Sau Tao","Black Pepper XO Sauce Flavour","Bowl","Hong Kong",5
2317,"MAMA","Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base","Bowl","Thailand",4
2316,"Nissin","Cup Noodle Spicy Curry Chicken","Cup","Japan",5
2315,"Goku-Uma","Ramen Noodles Miso Flavor","Bowl","USA",3
2312,"Xiao Ban Mian","Traditional Shallot & Onion Oil Noodle","Pack","Taiwan",5
2310,"Pran","Mr. Noodles Instant Noodles Beef Flavour","Pack","Bangladesh",4
2309,"Nissin","Cup Noodles Big Seafood Flavour","Cup","Hong Kong",4
2308,"Fantastic","Noodles Chicken Chow Mein Flavour","Cup","Australia",4
2305,"Ajinatori","Chicken Flavor Ramen","Pack","Japan",4
2304,"Maggi","2 Minute Noodles Masala Spicy","Pack","India",5
2303,"Maruchan","Sopa Maruchan Sobar A Camaron","Pack","Mexico",3
2302,"Nissin","Yakisoba","Tray","Japan",5
2301,"Suimin","Noodle With Oriental Chicken Flavour","Cup","Australia",3
2300,"Nissin","Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle","Pack","Hong Kong",4
2299,"Cintan","Mi Segera Mmm... Original","Pack","Malaysia",3
2298,"Nissin","Cup Noodles Spicy Chile Chicken (New Recipe)","Cup","USA",4
2297,"Chuan Wei Wang","Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor","Bowl","China",3
2296,"Suimin","Noodles With Chicken Flavour","Cup","Australia",3
2295,"Nissin","Cup Noodles Seafood","Cup","China",4
2294,"Sapporo Ichiban","Tabimen AizuKitakata Gyokai Shoyu Ramen","Bowl","Japan",4
2293,"Nissin","Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle","Pack","Hong Kong",5
2292,"Sichuan Baijia","Chongqing Noodles Spicy Hot Flavor","Pack","China",5
2291,"Samyang Foods","Buldak Bokkummyun Cheese Flavor","Pack","South Korea",4
2290,"Nissin","Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle","Pack","Hong Kong",5
2289,"Myojo","Shin Toyama Black Ramen","Bowl","Japan",4
2288,"Nissin","Cup Noodles Tom Yum Goong Flavour","Cup","Hong Kong",4
2287,"Master Kong","Artificial Abalone Crab Flavor Instant Noodle","Pack","China",0
2286,"Kamfen","Noodle King Artificial Abalone And Chicken Soup Flavored","Bowl","Hong Kong",4
2285,"Fantastic","Noodles Beef Flavour","Cup","Australia",3
2284,"Nissin","Korean Kimchi Flavour Vermicelli","Cup","Hong Kong",4
2283,"Nissin","Raoh Pork Bone Soy Soup Noodle","Pack","Japan",5
2282,"Samyang Foods","Gold Jjamppong Fried Noodle","Pack","South Korea",5
2281,"Nissin","Demae Iccho Red Hot Seafood Flavour Instant Noodle","Cup","Hong Kong",4
2280,"Sichuan Baijia","Chongqing Noodles Hot & Sour Flavor","Pack","China",4
2279,"Nissin","Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle)","Bowl","Hong Kong",5
2278,"Nissin","Raoh Tantanmen","Pack","Japan",5
2277,"Goku-Uma","Ramen Noodles Soy Sauce Flavor","Bowl","USA",3
2276,"Nissin","Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe)","Cup","USA",3
2275,"JML","Hot & Sour Beef Noodles","Pack","China",4
2274,"Suimin","Noodles With Braised Beef Flavour","Cup","Australia",4
2273,"Uni-President","A Q Bucket Noodle Korean Kimchi Flavor","Bowl","Taiwan",4
2272,"Nissin","Demae Iccho Spicy Kimchi Pot Flavour Instant Noodle (Bowl Noodle)","Bowl","Hong Kong",4
2271,"Sichuan Baijia","Chongqing Noodles Burning Dry Noodles","Pack","China",5
2270,"Samyang Foods","Fresh Bibimmyun Fried Noodle","Pack","South Korea",4
2269,"Wai Wai","Instant Noodles Veg Masala Flavour","Pack","India",4
2268,"Nissin","Nupasta Neapolitan Flavour Instant Noodle","Pack","Hong Kong",5
2267,"Shirakiku","Karami Ramen Spicy Chili Flavour Japanese Style Noodle With Soup Base","Pack","USA",2
2266,"Nissin","Disney Cuties Instant Noodle Crab Flavour","Cup","Thailand",4
2265,"Nissin","Cup Noodles Rich Soft Shelled Turle Soup","Cup","Japan",3
2264,"Unif Tung-I","Instant Vegetarian Beehoon Rice Vermicelli","Pack","Taiwan",1
2263,"Sichuan Baijia","Broad Noodle Artificial Beef Flavor Hot Pot","Pack","China",4
2262,"Dream Kitchen","Curry Flavour Instant Noodles","Cup","USA",5
2261,"Tablemark","Tohokuno Aji Yonezawa Ramen","Bowl","Japan",4
2260,"Uni-President","Science Noodle (X'Mas Edition)","Pack","Taiwan",5
2256,"Goku-Uma","Ramen Noodles Artificially Flavored Tonkotsu","Bowl","USA",3
2255,"Daikoku","Hiroshima Flavor Yakisoba","Tray","Japan",5
2254,"Nissin","Disney Cuties Instant Noodle Seaweed Flavour","Cup","Thailand",3
2253,"Singa-Me","Instant Noodles Mi Goreng Flavour","Cup","Australia",4
2252,"New Touch","Sugomen Sano Ramen","Bowl","Japan",5
2251,"Ottogi","Ramyon Sabor Y Camaron","Pack","Mexico",4
2250,"Nissin","Demae Iccho Spicy XO Sauce Seafood Flavour","Pack","Hong Kong",4
2249,"Love Cook","Sun Dried Noodle - Fruity Soy Bean Paste","Pack","Taiwan",4
2248,"Nongshim","Shin Noodle Soup","Cup","USA",5
2247,"Nissin","Sapporo Noukou Miso Ramen","Bowl","Japan",5
2246,"Dream Kitchen","Soy Sauce","Cup","USA",4
2245,"Nissin","Vietnamese Chicken Coriander Flavour Vermicelli","Cup","Hong Kong",4
2244,"Kang Shi Fu","Artificial Spicy Beef Flavour","Pack","Hong Kong",4
2243,"Nissin","Cup Noodles Black Pepper Crab Flavour","Cup","Hong Kong",4
2242,"Great Value","Beef Style Noodles With Vegetables","Cup","Canada",3
2241,"Fuku","Spicy Soup Instant Noodle Beef Flavour","Pack","Hong Kong",4
2240,"Wang","Rice Noodle Anchovy Flavor","Bowl","South Korea",3
2239,"Nissin","Cup Noodles Chicken Flavor Ramen Noodle Soup (New Recipe)","Cup","USA",4
2238,"Asian Thai Foods","Rumpum Gundruk Flavour","Pack","Nepal",1
2237,"Nissin","Cup Noodle Light+ Bagna Cauda","Cup","Japan",5
2236,"Maruchan","Gotsumori Koku Tonkotsu Ramen","Bowl","Japan",4
2235,"Fashion Food","Tom Yum Shrimp Creamy Flavour Instant Noodles","Bowl","Thailand",4
2234,"Paldo","Bibim Men","Bowl","South Korea",5
2233,"Nissin","Cup Noodles Milk Seafood Flavour","Cup","Hong Kong",4
2232,"Nissin","Spicy Chikin Donburi","Bowl","Japan",5
2231,"Fantastic","Noodle Chicken Flavour","Cup","Australia",4
2230,"Marutai","Kuroma-Yu Tonkotsu Kumamoto Ramen","Pack","Japan",4
2229,"Kang Shi Fu","Artificial Beef With Sauerkraut Flavour","Pack","Hong Kong",4
2228,"Nissin","Raoh Shoyu Ramen","Bowl","Japan",5
2227,"Maruchan","Ramen Noodle Soup Sriracha Chicken Flavor","Pack","USA",4
2226,"Nagatanien","Hiyashi Soba Taidashi Goma","Pack","Japan",3
2225,"Fuku","Bowl Chicken Flavour Instant Rice Vermicelli","Bowl","Hong Kong",4
2224,"Wai Wai","X-Press Flavour Of Pizza In Noodles Proprietary Food","Pack","India",4
2223,"KOKA","Rice Noodles Fragrant Chicken Pho Ga Flavour","Pack","Singapore",4
2222,"Nyor Nyar","Vegetarian Penang White Curry","Pack","Malaysia",5
2221,"Nissin","Cup Noodle Seafood","Cup","Japan",5
2220,"Paldo","Budae Jjigae","Pack","South Korea",5
2219,"Fantastic","Noodles Crispy Bacon Flavour","Cup","Australia",1
2218,"Tseng Noodles","Spicy Braised Pork Flavor","Pack","Taiwan",4
2217,"Nissin","Demae Ramen Spicy Seafood Flavour Instant Noodle","Pack","Hong Kong",5
2216,"A-Sha Dry Noodle","Chow Mein Spicy Flavor","Tray","Taiwan",3
2215,"Myojo","Mee Goreng Spicy Flavour","Pack","Singapore",5
2214,"Sapporo Ichiban","Tabimen Nagasaki Chanpon","Bowl","Japan",4
2213,"Acecook","Oh! Ricey Pork Flavour","Pack","Vietnam",4
2212,"Paldo","Bul Jjamppong","Pack","South Korea",4
2211,"Nissin","Disney Cuties Instant Noodle Roast Pork Flavour","Cup","Thailand",3
2210,"Morre","Instant Noodles Masala","Pack","Pakistan",4
2209,"Nissin","Demae Ramen Spicy Hot tonkotsu Flavour Instant Noodle","Pack","Hong Kong",5
2208,"Roland","Ramen Japanese Style Quick-Cooking Alimentary Paste With Chicken Artificially Flavored Soup Base","Pack","USA",0
2207,"Nissin","Big Cup Noodles Tonkotsu Flavour","Cup","Hong Kong",3
2206,"Nissin","Deka Buto Kuro M-yu Tonkotsu","Bowl","Japan",5
2205,"Maruchan","Bowl Taste Of Asia Hearty Pork Flavor Tonkotsu Ramen","Bowl","USA",4
2204,"Nissin","Cup Noodles Sabor Galinha Caipira","Cup","Brazil",4
2203,"Nongshim","Bowl Noodle Soup Independence Day Limited Edition Spicy Chicken Flavor","Bowl","USA",4
2202,"Nissin","Nupasta Vongole Flavour Instant Noodle","Cup","Hong Kong",4
2201,"Mr. Lee's Noodles","Penang Chicken Curry Laksa","Cup","UK",2
2200,"Mr. Lee's Noodles","Shaolin Monk Vegetables","Cup","UK",5
2199,"Mr. Lee's Noodles","Tai Chi Chicken","Cup","UK",3
2198,"Mr. Lee's Noodles","Dragon Fire Mushroom","Cup","UK",3
2194,"Fuku","Chicken Flavour Instant Noodle","Pack","Hong Kong",4
2193,"Knorr","Chicken Flavored Instant Noodles","Pack","Pakistan",3
2192,"Nyor Nyar","Penang White Curry Instant Noodle","Pack","Malaysia",5
2189,"Nissin","Demae Ramen Sesame Oil Flavour Cup","Cup","Hong Kong",4
2187,"Pulmuone","Non-Fried Ramyun Noodle (Crab Flavor)","Pack","South Korea",5
2186,"Master Kong","Assorted Seafood Noodles","Pack","China",4
2185,"Nissin","Raoh Hot & Sour Ramen","Pack","Japan",5
2181,"MAMA","Instant Rice Noodles Chicken Flavour","Pack","Thailand",4
2180,"MAMA","Pho Ga Rice Noodles With Artificial Chicken Flavour","Bowl","Thailand",3
2179,"MAMA","Oriental Kitchen Instant Rice Vermicelli In Gravy","Pack","Thailand",5
2178,"MAMA","Instant Tom Yam Rice Noodles","Pack","Thailand",4
2177,"MAMA","Instant Rice Noodles Vegetable Flavour","Pack","Thailand",4
2176,"MAMA","Instant Rice Vermicelli Yentafo Tom Yam Mohfai","Pack","Thailand",5
2175,"MAMA","Instant Flat Noodles Clear Soup","Pack","Thailand",4
2174,"MAMA","Cup Rice Noodles Tom Saab Flavour","Cup","Thailand",5
2173,"MAMA","Instant Rice Noodles Stew Beef Flavour","Pack","Thailand",4
2172,"MAMA","Instant Rice Noodles Phnom Penh Style","Pack","Thailand",4
2171,"MAMA","Instant Flat Noodles Tom Yam Flavour","Pack","Thailand",4
2170,"Maruchan","Ramen Noodle soup Mushroom Flavor","Pack","USA",4
2169,"Happy Family","Vegetable Flavour Instant Noodles","Pack","Singapore",4
2168,"Tseng Noodles","Rice Noodle Shallot With Braised Pork Flavor","Pack","Taiwan",5
2167,"Great Value","Vegetable Flavour Noodles With Vegetables","Cup","Canada",3
2166,"JML","Instant Noodle Artificial Beef Flavor 7 sour Pickled Cabbage","Pack","China",4
2165,"Suimin","Noodles With Hot & Spicy Flavour","Cup","Australia",3
2164,"Tseng Noodles","Rice Noodle Chinese Mushroom With Soybean Vegetarian Braised Pork Flavor","Pack","Taiwan",5
2163,"Nissin","Piritto Karakuchi Tantan Udon","Bowl","Japan",4
2162,"Tseng Noodles","Rice Noodle Seafood Laksa Flavour","Pack","Taiwan",5
2161,"Nongshim","Chal Bibim Myun","Pack","South Korea",5
2160,"Menraku","Japanese Yakisoba Umami Sauce","Bowl","Japan",5
2159,"La Moderna","Sazon Casero Sopa Con Tomate Y Sabor Pollo","Pack","Mexico",3
2158,"A-Sha Dry Noodle","Chow Mein Original Flavor","Tray","Taiwan",5
2157,"Master Kong","Artificial Mushroom Chicken Flavor Instant Noodle","Pack","China",4
2156,"A-Sha Dry Noodle","Chow Mein Oyster Sauce BBQ Flavor","Tray","Taiwan",2
2155,"Jingqi","Aloe Vera Guan Mian Purple Sweet Potato Noodle With Spicy Miso Sauce","Pack","Taiwan",4
2154,"Jingqi","Black Eyes Bean Original Noodle With Sesame Sauce","Pack","Taiwan",4
2153,"Jingqi","Aloe Vera Guan Mian Pumpkin Noodle With Basil Sauce","Pack","Taiwan",4
2152,"Jingqi","Black Eyes Bean Cyanobacteria Noodle With Ginger Oil Sauce","Pack","Taiwan",5
2151,"Jingqi","Aloe Vera Guan Mian Original Noodle With Sesame Sauce","Pack","Taiwan",5
2150,"Jingqi","Black Eyes Bean Purple Sweet Potato Noodle With Spicy Miso Sauce","Pack","Taiwan",3
2149,"Jingqi","Aloe Vera Guan Mian Cyanobacteria Noodle With Ginger Oil Sauce","Pack","Taiwan",5
2148,"Jingqi","Black Eyes Bean Pumpkin Noodles With Basil Sauce","Pack","Taiwan",5
2147,"Maruchan","Instant Lunch Pork Flavor Ramen Noodles With Vegetables","Cup","USA",3
2146,"Sapporo Ichiban","Kun Ramen Sumo-kuchikin (Smoked Chicken)","Bowl","Japan",3
2145,"Dream Kitchen","Tonkotsu","Cup","USA",3
2144,"Nissin","Lamen Sabor Picanha","Pack","Brazil",4
2143,"Thien Houng Foods","Lemon Chicken Flavour Instant Noodles","Pack","Vietnam",3
2142,"Maruchan","Bowl Taste Of Asia Miso Chicken Flavor Spicy Miso Ramen","Bowl","USA",4
2141,"Nissin","Men Shokunin Kaoruyasai Shio","Bowl","Japan",5
2140,"Wang","Rice Noodle Seafood Flavour","Bowl","South Korea",5
2139,"Fuku","Superior Soup Instant Noodles (Mfg in Thailand)","Pack","Hong Kong",4
2138,"Fuku","Superior Soup Instant Noodles (Mfg in Vietnam)","Pack","Hong Kong",4
2137,"Nissin","Demae Ramen Spicy Curry Flavour Instant Noodles","Pack","Hong Kong",4
2136,"Nissin","Demae Ramen Roast Beef Flavour Instant Noodles","Pack","Hong Kong",4
2135,"Doll","Instant Noodle Supreme Abalone And Chicken Flavour","Pack","Hong Kong",2
2134,"Four Seas","Chicken Flavour Instant Noodle","Pack","Hong Kong",4
2130,"Kang Shi Fu","Artificial Salted Beef With Mushrooms Flavour","Pack","Hong Kong",4
2129,"CarJEN","Hot & Spicy Dry Curry With Chives Soup","Pack","Malaysia",5
2128,"Sapporo Ichiban","Taimeiken Yousyoku Yasangatsukutta Omumen","Cup","Japan",4
2125,"Happy Family","Curry Flavour Instant Noodles","Pack","Singapore",4
2123,"Nissin","Cup Noodles Tom Yum Shrimp Sabb Flavour","Cup","Thailand",5
2122,"Nissin","Chilli Noodles Stir Fried Holy Basil Flavour","Pack","Thailand",5
2121,"Nissin","Instant Noodles Moo Manao Flavour","Pack","Thailand",4
2117,"7 Select","Nissin Instant Noodles Shrimp Ma Nao Lui Suan Flavour King Cup","Bowl","Thailand",4
2113,"Nissin","Cup Noodles Seafood Creamy Flavour","Cup","Thailand",4
2112,"Nissin","Chilli Noodles Spicy Tom Yum Flavour","Pack","Thailand",4
2108,"Weh Lih","GGE Noodle Snack Wheat Crackers Original Ramen","Pack","Taiwan",1
2105,"Maruchan","Ramen Noodle Soup Chicken Tortilla Flavor","Pack","USA",3
2104,"Wang","Rice Noodle Kimchi Flavor","Bowl","South Korea",4
2103,"Roland","Ramen Japanese Style Quick-Cooking Alimentary Paste With Beef Artificially Flavored Soup Base","Pack","USA",0
2102,"Nissin","Cup Noodles Singapore Laksa","Cup","Japan",5
2101,"Samyang Foods","Pojangmacha Udon","Pack","South Korea",4
2100,"Myojo","Mee Goreng Original Flavour","Pack","Singapore",4
2099,"Sanpo","Yakibuta Ramen","Bowl","Japan",4
2098,"Nongshim","Kimchi Flavor Noodle Soup","Cup","USA",5
2097,"CarJEN","Otentiq Cheezy Mushroom Instant Noodles (Improved Taste)","Pack","Malaysia",5
2096,"Maruchan","Seimen Noukou Toro Tonkotsu","Bowl","Japan",4
2095,"Nissin","Straits Kitchen Laksa","Pack","Singapore",5
