"MarketPlace","product_category","product_title","star_rating","verified_purchase","helpful_vote"
"UK","Mobile_Apps","Can You Escape - Adventure",1,"Y",1
"UK","Mobile_Apps","Guess The Emoji",4,"Y",0
"JP","Mobile_Apps","Evernote",4,"Y",3
"US","Mobile_Apps","Crossy Road",5,"Y",0
"US","Mobile_Apps","Eternium: Mage and Minions",5,"Y",0
"US","Mobile_Apps","My Horse",5,"Y",0
"DE","Office Products","CASIO FX-5800P programmierbarer technisch-wissenschaftlicher Rechner, 4-zeilige Anzeige",4,"Y",1
"US","Mobile_Apps","Magic Jigsaw Puzzles",5,"Y",0
"US","Mobile_Apps","Minion Rush: Despicable Me Official Game",4,"Y",0
"US","Mobile_Apps","Bridge Constructor",1,"N",1
"UK","Digital_Music_Purchase","Ceremonials",5,"Y",0
"US","Mobile_Apps","Township",5,"Y",0
"UK","Toys","Orchard Toys Bus Stop",5,"Y",0
"UK","Toys","Schleich - Donkey Foal",5,"Y",0
"UK","Digital_Music_Purchase","Presence [Explicit]",1,"N",1
"US","Mobile_Apps","My Kingdom for the Princess",2,"Y",0
"UK","PC","Timbuk2 Envelope Sleeve for Kindle with 360 degree protection [will only fit Kindle Paperwhite, Kindle (5th Generation), Kindle Touch (4th Generation) and Kindle (7th Generation)]",4,"Y",2
"US","Mobile_Apps","Dumb Ways to Die",4,"Y",0
"US","Mobile_Apps","Cut the Rope 2",5,"Y",0
"US","Mobile_Apps","Fruit Ninja Free",5,"Y",0
"US","Mobile_Apps","Just 6 Weeks",5,"Y",0
"UK","Office Products","Pocket Moleskine Music Notebook",5,"Y",0
"US","Mobile_Apps","Amazon Underground",5,"Y",0
"US","Mobile_Apps","Candy Crush Saga",1,"Y",0
"US","Mobile_Apps","Youtube to mp3",1,"Y",0
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",4,"Y",0
"UK","Toys","Intex Wetset Summer Colours Swim Centre 73 x 71 Inch Pool",4,"Y",1
"UK","Mobile_Apps","BINGO BLITZ: Play Free Bingo & Slots!",5,"Y",0
"UK","Mobile_Apps","Super Penguins",4,"Y",3
"US","Mobile_Apps","Leo's Fortune",5,"N",0
"US","Mobile_Apps","Jetpack Joyride",5,"Y",0

"US","Digital_Music_Purchase","Liquid Spirit",5,"Y",0
"US","Mobile_Apps","Wi-Fi Analyzer",5,"Y",0
"DE","Mobile_Apps","Crossy Road",5,"Y",0
"UK","Mobile_Apps","CSR Racing",4,"Y",0
"UK","Digital_Music_Purchase","The Rise and Fall of Ziggy Stardust and the Spiders from Mars",5,"N",0
"US","Mobile_Apps","Dark Arcana: the Carnival",4,"Y",0
"US","Mobile_Apps","WPS Office + PDF",1,"Y",1
"US","Mobile_Apps","FREEdi YouTube Downloader",2,"Y",0
"DE","Mobile_Apps","Songsterr Guitar Tabs & Chords",5,"Y",0
"US","PC","Noctua A-Series Cooling Fan Blades with AAO Frame, SSO2 Bearing (NF-A4x10 FLX)",5,"Y",0
"US","Mobile_Apps","YourTube - Video Player, Downloader and mp3 converter!",2,"N",1
"US","Mobile_Apps","Solitaire",5,"Y",0
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",5,"Y",0
"US","Mobile_Apps","8 Ball Pool",4,"Y",0
"US","Mobile_Apps","Injustice: Gods Among Us (Kindle Tablet Edition)",4,"Y",0
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",2,"Y",0
"JP","PC","インテル Celeron G1620 (Ivy Bridge 2.70GHz) LGA1155 BX80637G1620",5,"N",1
"US","Toys","Barbie ZipBin 40 Doll Dream House Toy Box & Playmat",5,"Y",0
"US","Mobile_Apps","Minion Rush: Despicable Me Official Game",5,"Y",0
"US","Mobile_Apps","Magic Academy 2: Mystery Tower",5,"Y",0
"US","Mobile_Apps","Minion Rush: Despicable Me Official Game",5,"Y",0
"US","Toys","Perplexus Epic",5,"Y",0
"US","Mobile_Apps","Cubistry",5,"Y",0
"DE","Toys","NERF N-Strike Longstrike CS-6",3,"Y",3
"FR","Mobile_Apps","Might and Magic Clash of Heroes",5,"Y",0
"DE","Toys","HABA 4170 - Obstgarten, Würfelspiel",5,"N",0
"US","Mobile_Apps","Ultimate Hangman HD",4,"Y",0
"US","Mobile_Apps","Floors Escape",1,"Y",3
"US","Mobile_Apps","Pet Rescue Saga",3,"Y",0
"US","Mobile_Apps","DEER HUNTER CLASSIC",5,"Y",0
"US","Mobile_Apps","DEER HUNTER CLASSIC",5,"Y",0
"DE","PC","Amazon Kindle USB-Ersatzkabel für eReader",5,"Y",0
"US","Mobile_Apps","Dumb Ways to Die",5,"Y",0
"US","Mobile_Apps","Real Steel World Robot Boxing",1,"Y",1
"US","Mobile_Apps","Pipe Puzzle – Premium",5,"Y",0
"US","Mobile_Apps","Abyss: The Wraiths of Eden",5,"Y",0
"JP","Mobile_Apps","Wi-Fi Analyzer",3,"Y",0
"UK","Mobile_Apps","vTube for YouTube [FREE]",3,"Y",4
"US","Mobile_Apps","World at Arms - Wage war for your nation!",5,"Y",0
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",4,"Y",0
"UK","Toys","The LEGO Movie 70809: Lord Business' Evil Lair",5,"Y",0
"DE","Mobile_Apps","Official eBay Android App",5,"Y",4
"US","Mobile_Apps","Grim Legends: The Forsaken Bride (Full)",5,"Y",0
"DE","Toys","Lego Spiele 3844 - Creationary",4,"Y",0
"UK","Mobile_Apps","Web of Deceit: Black Widow Collector's Edition (Full)(Kindle Tablet Edition)",1,"Y",0
"DE","Toys","Brio 33223 - Rote Lola Batterielok",4,"N",1
"US","Mobile_Apps","Alice in the Mirrors of Albion",3,"Y",0
"UK","Toys","Papo 54006 ""French Black and White Bull Dog"" Figure",1,"Y",0
"US","Digital_Music_Purchase","Popular Problems",5,"Y",1
"US","Mobile_Apps","Quell",5,"Y",0
"US","Mobile_Apps","BINGO BLITZ: Play Free Bingo & Slots!",4,"Y",0
"US","Mobile_Apps","Where Angels Cry",5,"Y",0
"US","Mobile_Apps","Photo Lab PRO photo editor",5,"Y",0
"US","Mobile_Apps","Temple Run",5,"Y",0
"US","Mobile_Apps","Geometry Dash Lite",5,"Y",0
"US","Mobile_Apps","Songsterr Guitar Tabs & Chords",4,"Y",0
"UK","Mobile_Apps","CastleVille Legends",4,"Y",0
"US","Mobile_Apps","vTube for YouTube [FREE]",5,"Y",0
"US","Mobile_Apps","Geometry Dash Lite",5,"Y",0
"US","Mobile_Apps","My Talking Angela",3,"Y",1
"US","Mobile_Apps","Mystery Manor",4,"Y",0
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",3,"Y",0
"US","Mobile_Apps","Dr. Panda's Handyman",4,"Y",20
"FR","Mobile_Apps","Stellarium Mobile Planétarium",5,"N",0
"US","Digital_Music_Purchase","Born This Way",5,"N",1
"US","Mobile_Apps","Rocket Player - Music Player",4,"Y",0
"US","Mobile_Apps","DEER HUNTER CLASSIC",1,"Y",0
"UK","Mobile_Apps","Battle Islands",5,"Y",12
"US","Digital_Music_Purchase","Tapestry",5,"Y",0
"US","Mobile_Apps","My Horse",5,"Y",0
"UK","Mobile_Apps","Toca Hair Salon 2",1,"Y",72
"UK","Mobile_Apps","Dandelions",3,"Y",0
"US","Mobile_Apps","Minecraft",4,"Y",1
"UK","Mobile_Apps","Draw Infinity",2,"Y",1
"US","Mobile_Apps","LEGO® DUPLO® Train",3,"Y",3
"US","Mobile_Apps","Riptide GP2",5,"Y",0
"DE","Toys","Mattel Disney's Sofia die Erste Y6654 - Sofia und königliche Familie, 5 Puppen Set",5,"Y",0
"US","Mobile_Apps","Enigmatis 2: The Mists of Ravenwood",1,"Y",5
"US","Mobile_Apps","Vevo - Watch Music Videos",4,"Y",0
"US","Digital_Music_Purchase","The Best Of Sade",5,"Y",1
"US","Mobile_Apps","Sorcery!",5,"Y",0
"US","Mobile_Apps","FlipPix Art - Simple Pleasures",4,"Y",0
"UK","Mobile_Apps","Learn Piano",5,"Y",0
"UK","Mobile_Apps","MapFactor Navigator",1,"Y",0
"US","Mobile_Apps","Family Farm Seaside",2,"Y",8
"US","Mobile_Apps","Calculator Plus Free",5,"Y",0
"US","Mobile_Apps","Minecraft",5,"Y",0
"US","Mobile_Apps","Super Dynamite Fishing Premium",1,"Y",0
"US","Mobile_Apps","vTube for YouTube [FREE]",1,"Y",0
"US","Mobile_Apps","Jewel Legends: Tree of Life",4,"Y",0
"US","Mobile_Apps","Angry Birds Go!",5,"Y",0
"US","Mobile_Apps","Calculator Pro Free",4,"Y",0
"US","Mobile_Apps","Pixel Gun 3D (Pocket Edition) - multiplayer shooter with skin creator",5,"Y",0
"US","Mobile_Apps","Minecraft",5,"Y",0
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",4,"Y",0
"US","Mobile_Apps","Dungeon Hunter 4",5,"Y",0
"US","Mobile_Apps","Doodle God",5,"Y",6
"US","Mobile_Apps","Crossy Road",5,"Y",0
"UK","Digital_Music_Purchase","Powerage",5,"Y",0
"US","Mobile_Apps","Candy Crush Saga",3,"Y",0
"US","Mobile_Apps","Hill Climb Racing",4,"Y",0
"US","Mobile_Apps","Flow Free",5,"Y",0
"US","PC","Adonit Jot Script Evernote Edition Fine Point Precision Stylus for iPad, iPad Air, iPad Mini and iPhone [Previous Generation]",2,"Y",1
"US","Toys","Cra-Z-Art Shimmer 'n Sparkle Cra-Z-Loom Bracelet Maker",5,"Y",0
"US","Mobile_Apps","Frozen Free Fall",4,"Y",0
"US","Mobile_Apps","Subway Surfers",5,"Y",0
"US","Mobile_Apps","MoboPlayer",4,"Y",0
"UK","Mobile_Apps","ES File Explorer File Manager",5,"Y",0
"US","Mobile_Apps","Minecraft",5,"Y",1
"DE","Mobile_Apps","radio.de - Der Radioplayer",1,"Y",7
"US","Mobile_Apps","PicsArt Photo Studio",5,"Y",2
"US","Mobile_Apps","Amazing Breaker",5,"Y",0
"US","Mobile_Apps","Cubistry",5,"Y",0
"US","Mobile_Apps","CSI: Hidden Crimes",5,"Y",0
"US","Mobile_Apps","Can You Escape",4,"Y",0
"UK","Mobile_Apps","Mahjong",5,"Y",0
"US","Mobile_Apps","Dragon City",5,"Y",0
"US","Mobile_Apps","Plex",5,"Y",0
"US","Digital_Music_Purchase","Sonic Highways [Explicit]",5,"Y",0
"UK","Office Products","2013 Moleskine Pocket Daily Diary Hard",5,"Y",0
"US","Office Products","Jumbl 5 Mega Pixel 35mm Film Slide and Negative Scanner",5,"Y",1
"US","Mobile_Apps","FlipPix Art - Simple Pleasures",5,"Y",0
"JP","PC","PhotoFast MS ProDuoデュアルアダプター CR-5400",3,"Y",0
"UK","Office Products","2013 Moleskine Red Pocket Weekly Notebook 12 Month Hard",4,"Y",0
"US","Digital_Music_Purchase","Call Me Maybe",5,"Y",0
"US","Mobile_Apps","Coin Dozer",4,"Y",0
"US","Mobile_Apps","Call of Atlantis (Premium)",3,"Y",0
"US","Mobile_Apps","Doodle God",3,"Y",0
"US","Mobile_Apps","Bubble Blaze",5,"Y",0
"US","Mobile_Apps","SAMURAI vs ZOMBIES DEFENSE",4,"Y",0
"US","Mobile_Apps","Angry Birds Rio HD (Fire Edition)",5,"N",7
"US","Mobile_Apps","The Lost City",4,"Y",0
"US","Mobile_Apps","Angry Birds Space Free",5,"Y",0
"US","Mobile_Apps","Calculator Plus Free",5,"Y",0
"US","Mobile_Apps","Hill Climb Racing",5,"Y",0
"US","Mobile_Apps","YouPlayer for YouTube",4,"Y",0
"US","Mobile_Apps","Fruit Ninja Free",5,"Y",0
"UK","Digital_Music_Purchase","Trilogy [Explicit]",5,"Y",0
"US","Mobile_Apps","Angry Birds Space Free",1,"Y",19
"US","Mobile_Apps","WPS Office + PDF",4,"Y",0
"US","Mobile_Apps","Subway Surfers",4,"Y",0
"US","Mobile_Apps","Can You Escape",5,"Y",0
"DE","Digital_Music_Purchase","Origin Of Symmetry",5,"Y",0
"US","Mobile_Apps","Calculator Plus Free",5,"Y",0
"US","Mobile_Apps","Kik Messenger",5,"Y",0
"US","Mobile_Apps","Minecraft",5,"Y",0
"US","Mobile_Apps","Mahjong Journey®",5,"Y",0
"US","Mobile_Apps","247 Mahjong",4,"Y",0
"US","Toys","Super Mario Plush - 5"" Goomba Soft Stuffed Plush Toy Japanese Import",5,"Y",0
"US","Mobile_Apps","Dictionary - Merriam-Webster",5,"Y",0

"US","Mobile_Apps","Solitaire",4,"Y",0
"UK","Toys","LEGO Star Wars 7914: Mandalorian Battle Pack",5,"N",2
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",4,"Y",0
"US","Mobile_Apps","Block Story Premium",5,"Y",395
"UK","Toys","LEGO Creator 7346: Seaside House",5,"Y",0
"DE","Mobile_Apps","YourTube - Video Player, Downloader and mp3 converter!",1,"Y",0
"UK","Mobile_Apps","Minion Rush: Despicable Me Official Game",5,"Y",0
"US","Mobile_Apps","Wonder Zoo: Animal & Dinosaur Rescue",5,"Y",0
"US","Mobile_Apps","Eternium: Mage and Minions",5,"Y",0
"US","Mobile_Apps","CrossMe Color Premium Nonograms",5,"Y",0
"US","Mobile_Apps","DragonVale",5,"Y",2
"US","Mobile_Apps","Monument Valley",4,"Y",0
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",3,"Y",0
"US","Digital_Music_Purchase","All That Echoes",4,"Y",1
"UK","Digital_Music_Purchase","The 2nd Law [Explicit]",4,"Y",1
"US","Mobile_Apps","Bubble Blaze",4,"Y",0
"UK","Mobile_Apps","The Secret Society® - Hidden Mystery",5,"Y",0
"US","Mobile_Apps","Missile Defender",4,"Y",0
"US","Mobile_Apps","10000000",5,"Y",8
"US","Mobile_Apps","Calculator Plus Free",5,"Y",0
"US","Mobile_Apps","Battery",5,"Y",0
"US","Mobile_Apps","CONTRACT KILLER: SNIPER",5,"Y",0
"US","Mobile_Apps","Flappy Wings (not Flappy Bird)",5,"Y",0
"US","Mobile_Apps","Frozen Mahjong",3,"Y",0
"US","Mobile_Apps","Hearthstone",5,"Y",0
"US","Mobile_Apps","Jetpack Joyride",5,"Y",0
"US","Mobile_Apps","Clean Master Phone Boost",5,"Y",0
"UK","PC","Plextor PX-891SA 24x SATA Super Multi Internal DVDRW Retail Kit",5,"Y",1
"US","Mobile_Apps","Guess The Emoji",5,"Y",0
"US","Mobile_Apps","Megapolis",5,"Y",0
"US","Mobile_Apps","Podcast Addict",5,"Y",0
"US","Toys","Disney Frozen Elsa's Magical Musical Gloves",5,"Y",0
"DE","Toys","Lego Duplo Winnie the Pooh 5945 - Winnie Poohs Picknick",5,"Y",0
"US","Mobile_Apps","Pinterest",5,"Y",0
"US","Mobile_Apps","Enigmatis: The Ghosts of Maple Creek",4,"Y",0
"US","Mobile_Apps","Evernote - stay organized.",5,"Y",0
"UK","Mobile_Apps","Coin Dozer",5,"Y",0
"US","Mobile_Apps","HP Print Plugin",5,"Y",0
"US","Mobile_Apps","Dragon Story",5,"Y",0
"US","Mobile_Apps","Genius Scan+",5,"Y",1
"UK","Toys","Takenoko Board Game",4,"Y",9
"US","Mobile_Apps","Enigmatis: The Ghosts of Maple Creek",4,"Y",0
"UK","Mobile_Apps","The Secret Society® - Hidden Mystery",4,"Y",0
"US","Mobile_Apps","Flow Free",5,"Y",0
"US","Digital_Music_Purchase","Ladies And Gentlemen... The Best Of George Michael [Clean]",5,"N",0
"US","Mobile_Apps","Hungry Shark Evolution",5,"Y",0
"US","Mobile_Apps","Subway Surfers",4,"N",0
"US","Mobile_Apps","Photo Studio PRO",1,"Y",13
"US","Mobile_Apps","TuneIn Radio Pro",5,"N",1
"US","Mobile_Apps","Midnight Castle – A Free Hidden Object Mystery Game for Fire! Find objects and solve puzzles!",1,"Y",0
"US","Mobile_Apps","Candy Crush Saga",5,"Y",0
"US","Mobile_Apps","Alarm Clock Xtreme Free + Timer",5,"Y",0
"US","Mobile_Apps","LEGO® DUPLO® Train",5,"Y",3
"US","Digital_Music_Purchase","The Whippoorwill",4,"Y",0
"US","PC","Huion H610PRO Painting Drawing Pen Graphics Tablet",5,"Y",2
"UK","Mobile_Apps","Call of Duty®: Heroes",4,"Y",0
"UK","Toys","LEGO Star Wars 75054: AT-AT",5,"Y",1
"US","Mobile_Apps","Adventure Town",5,"Y",0
"DE","Toys","Lego Duplo 5647 -  Großer Traktor",5,"N",2
"US","Mobile_Apps","Hill Climb Racing",2,"Y",0
"US","Mobile_Apps","Call of Duty®: Heroes",5,"Y",0
"US","Mobile_Apps","vTube for YouTube [FREE]",5,"Y",0
"US","Mobile_Apps","Real Steel World Robot Boxing",4,"Y",0
"DE","Mobile_Apps","Solitär",5,"Y",1
"US","Mobile_Apps","Game of War - Fire Age",5,"Y",0
"US","Mobile_Apps","HD Video Player",5,"Y",0
"US","Mobile_Apps","Toca Cars",1,"Y",5
"US","Mobile_Apps","The Lost City",3,"Y",0
"US","Mobile_Apps","The Oregon Trail: American Settlers",4,"Y",0
"US","Mobile_Apps","Amazon Underground",5,"Y",0
"US","Mobile_Apps","FarmVille 2: Country Escape",4,"Y",0
"US","Mobile_Apps","Dumb Ways to Die",5,"Y",1
"US","Mobile_Apps","Modern Combat 4: Zero Hour",5,"Y",3
"US","Mobile_Apps","Minion Rush: Despicable Me Official Game",4,"Y",0
"US","Mobile_Apps","Buttons and Scissors (Pro)",3,"Y",0
"US","Mobile_Apps","Subway Surfers",5,"Y",0
"US","Digital_Music_Purchase","Pure Heroine (Extended)",5,"Y",0
"US","Mobile_Apps","Amazing Alex Premium",2,"Y",4
"UK","Mobile_Apps","My Horse",3,"Y",50
"US","Mobile_Apps","Bible",2,"Y",0
"US","Mobile_Apps","Calculator Plus Free",5,"Y",0
"US","Mobile_Apps","Toca Hair Salon 2",5,"Y",0
"US","Mobile_Apps","Solitaire",5,"Y",0
"US","Mobile_Apps","Voxel Invaders",5,"Y",0
"US","Mobile_Apps","Solitaire",3,"Y",0
"UK","Mobile_Apps","Monument Valley",3,"Y",2
"UK","Mobile_Apps","The Secret Society® - Hidden Mystery",4,"Y",0
"US","Mobile_Apps","The Room (Kindle Tablet Edition)",5,"Y",0
"US","Mobile_Apps","Candy Crush Saga",5,"Y",0
"US","Office Products","Neo-Flex LCD Arm",5,"Y",2
"DE","Mobile_Apps","Minecraft",4,"Y",0
"US","Mobile_Apps","Star Command",5,"Y",0
"US","Mobile_Apps","Dictionary - Merriam-Webster",5,"Y",0
"US","Mobile_Apps","Bubble Blaze",4,"Y",0
"UK","Mobile_Apps","Kik Messenger",5,"Y",0
"US","Mobile_Apps","Bible",5,"Y",0
"UK","Mobile_Apps","CastleVille Legends",5,"Y",0
"US","Mobile_Apps","World at Arms - Wage war for your nation!",5,"Y",1
"UK","Digital_Music_Purchase","Frozen (Original Motion Picture Soundtrack)",5,"N",0
"US","Mobile_Apps","Mahjong Artifacts® (Full)",5,"Y",0
"US","Mobile_Apps","The Secret Society® - Hidden Mystery",4,"Y",0
"US","Digital_Music_Purchase","The Marshall Mathers LP",5,"Y",0
"US","Mobile_Apps","Pirates! Showdown",1,"Y",0
"US","Mobile_Apps","Temple Run",5,"Y",0
"US","Mobile_Apps","101-in-1 Games",1,"Y",0
"US","Digital_Music_Purchase","Mylo Xyloto",5,"N",0
"US","Mobile_Apps","Ice Age Village",5,"Y",0
"US","Mobile_Apps","Pinterest",2,"Y",0
"UK","Mobile_Apps","MAPS.ME — Offline Maps",5,"Y",0
"US","Digital_Music_Purchase","Call Me Maybe",5,"N",0
"US","Mobile_Apps","Going Nuts",5,"Y",0
"US","Mobile_Apps","Solitaire",5,"Y",0
"US","Mobile_Apps","Hungry Shark Evolution",5,"Y",0
"US","Mobile_Apps","Minecraft",1,"N",6
"US","Mobile_Apps","God of Light HD",5,"Y",0
"US","Mobile_Apps","Avia Media Player (Chromecast, Roku, Apple TV, WebOS)",1,"Y",3
"US","Toys","Disney Frozen Glitter Glider Anna, Elsa and Olaf Doll Set",5,"Y",0
