"Company","count"
"Orion Capital Solutions LLC",4
"Credit Recovery Consultants",1
"Green Tree Case Funding, LLC",1
"Chicago Car Center, Inc.",1
"DailyPay, Inc",2
"Autoflex Leasing - Dallas I LLC",1
"Smith, Cohen & Rosenberg LLC",1
"Lafayette, Ayers & Whitlock, PLC",1
"Peter T. Roach and Associates, P.C.",1
"Schreiber Law LLC",10
"Alpha Mortgage, LLC",1
"PayActiv, Inc.",1
"South Fork Funding, inc.",1
"BQ & Associates, P.C., L.L.O.",34
"LoanUnited.com, LLC",2
"The Satterwhite Law Firm PC",1
"Student Funding Corporation of America, Inc.",1
"Bell Financial Services",1
"MARINE ONE ACCEPTANCE CORPORATION",2
"Donna A Daniels Law Offices PC",1
"Lyons Law Office, LLC",1
"DSW Carolina, LLC d/b/a Resource Services",1
"Nav Technologies, Inc.",1
"Collection Bureau of Little Falls, Inc.",3
"SM Law, PC",2
"DeConcini McDonald Yetwin & Lacy, PC",1
"MCU Holdings, LLC",3
"Hardesty Law Office, PLLC",1
"The Capital Good Fund",1
"Covington Capital Corporation",2
"Second Chance Collections, LLC",3
"Martell & Ozim, PA",1
"Bonial & Associates, P.C",13
"Law Offices of Richard J. Manning, Jr.",1
"SPP, Inc.",1
"Craig's Auto & RV Inc",1
"Arcus Lending Inc",1
"The Levinbook Law Firm, P.C.",1
"KRW Associates, LLC",2
"Grand Canyon Title, Agency, Inc.",1
"Old Union Financial, LLC",1
"We Finance Inc.",1
"Legal Alliance Network",2
"AMERICAN BANCSHARES MORTGAGE, LLC",1
"National Litigation Law Group, LLP",1
"Cam Credits, Inc.",1
"AAA Checkmate LLC",1
"Meritize Financial Inc.",1
"Signature Home Lending Inc",1
"CR-MPM, LLC dba Don Carro",1
"The Day Law Firm, LLC.",1
"Tucker Financing Inc.",1
"Interstate Credit Control, Inc.",2
"Appalachian Lending Corporation",1
"Qualified Home Solutions LLC",1
"Total Loan Company, LLC",2
"Finest Title Company",1
"Pitbladdo Botteron and Jarvis, LLC",1
"Student Debt USA, LLC",1
"Commonwealth Auto Credit, LLC",1
"Ekimoto & Morris, a Hawaii Limited Liability Law Company",1
"United Home Loan Services Inc.",1
"M & S FUNDING, INC.",1
"Hays Potter & Martin LLP",1
"Ponca Finance Co. Inc",3
"Money Services, Inc., d/b/a Texoma Finance",1
"Jon D. Curtis, Attorney at Law",1
"PEARL LOANS INC",1
"Recovery Ace Inc",2
"Sign on the Line, Inc.",1
"Kevin A. Stevens",1
"Perry Law Office, P.C.",1
"Stokes & Wolf, P.C.",1
"Basil Lease Corp.",1
"HealthCare Revenue Recovery, LLC",1
"PIONEER CREDIT RECOVERY, INC.",1
"1st Florida Lending CORP",1
"Brilliance Credit, LLC",1
"RAYBOUN MULLIGAN, PLLC",1
"The Law Offices of Matthew R. Wildermuth",1
"Association Collection Services LLC",1
"Borns & Steele, P.C.",1
"Neil Huffman Automobiles Inc.",2
"Debt Reduction Services, Inc.",1
"Progrexion Holdings, Inc.",1
"Ghidotti | Berger LLP",3
"Sibbett Auto Sales LLC",1
"CHARTER CAPITAL CORPORATION",1
"Florida Equity Capital",1
"ANSELL GRIMM & AARON, P.C.",1
"AutoStar Finance, Inc - D/B/A Atlanta AutoStar",1
"Meridian Buyer’s Group",1
"Nationwide Funding Group Corp.",1
"Capital Recovery, LLC (Closed)",1
"MORTAGE WAREHOUSE LLC, THE",1
"Gabriel FInancial Group, Inc.",1
"Midwest Mortgage Investments LTD",1
"Mid Atlantic Portfolios, LLC",1
"A & J COLLECTION",1
"Liberty Finance Co., Inc.",1
"Eagle Auto Credit Inc",1
"O’Reilly Rancilio P.C.",2
"NORTH AMERICAN FINANCIAL CORP",1
"STARBOARD FINANCIAL MANAGEMENT",1
"3D Financial",1
"INGRAHAM & ASSOCIATES, P.A.",1
"Moneyguard LLC",1
"Affinity Mortgage, L.L.C.",1
"Vanderpool, Frostick & Nishanian, P.C.",1
"Western Collections, Inc",1
"Ark Law Group, PLLC",1
"Goal Structured Solutions Inc",4
"Viking Client Services",96
"North American Service Company, Inc.",1
"International Mortgage & Finance Group, Inc.",1
"M H Loans Corporation",1
"World Wide Land Transfer, Inc.",1
"Americas Mortgage Professionals, LLC",1
"Veristone Mortgage, LLC",1
"MBM Collections, LLC",1
"Friedman Law Associates, PC",1
"Vion Holdco I LLC",2
"Lone Star Credit Co. Inc",1
"Lighthouse Acceptance Corporation",1
"The Law Office of Patrick V. Foltz, P.C.",1
"Flandreau Santee Sioux Tribe",2
"Academic Solutions of New York, LLC",2
"Consider It Collected, LLC",1
"Murphy Law Office, LLC",1
"FHC Mortgage",1
"CLAYTON AUTOS, INC",3
"Branson Quick Cash, Inc.",1
"The Law Office of Ginger Crosby Zuravel",1
"South West Recovery Inc (CA)",1
"Red Rock Financial of Cedar City",1
"UNITED FIDELITY FUNDING, CORP",2
"Odunlami Law Firm, LLC",1
"MEGA CAPITAL FUNDING INC.",1
"Cordoba & Associates",2
"Romain Automotive, LLC",1
"CNG Investments, Inc",1
"Mapother & Mapother, PSC",2
"American Billing & Collection",1
"Metropolitan Bureau of Collections, Inc.",1
"Hannah Financial LLC",1
"Copper Lake Financial",1
"Edco Bridge",1
"Injury Case Funding Services, L.L.C.",1
"Brian Kvarfordt",3
"Financial Aid Network, LLC",1
"Southern Star Automotive Inc.",1
"America’s Financial Choice, Inc.",2
"BELING & ASSOCIATES",1
"Foxstar Energy Resources LLC DBA Federal Student Loans Council",7
"Jones & Walden, LLC",1
"RPT Recovery Authority LLC",1
"Huntington Debt Holding, LLC",2
"Car Cash of Lawrenceville LLC",1
"National Credit Union Administration",1
"FIVE STAR MORTGAGE",1
"Smith Cavin & Corbin, LLC",1
"Swartz & Brough, Inc",1
"HOVOT Management, LLC",1
"HomeServices of Iowa",1
"P.M.B. Inc. dba Twin Tier Mortgage",1
"GOOGAIN, INC.",2
"Law Offices of Lawrence P. Zamzok",1
"Moneytree Financial Services, Inc.",1
"LAW OFFICE OF HALL AND ASSOCIATES",3
"Calvin Dean Homolka II",2
"V.I.P. MORTGAGE, INC.",1
"DAVIDSON FINK LLP",1
"Asset One Mortgage, Inc.",1
"AssetRecoveryplus",1
"State Cap Auto Finance, Inc",1
"A Top Golden Lending",1
"J&D Recovery, Inc.",1
"Flangas Law Firm, LTD",1
"Peters & Associates, LLP",1
"International Credit Corporation, Inc.",1
"Straley & Otto, P.A.",1
"House of Finance Corp.",1
"Action Rent To Own",1
"First Choice Credit Management",1
"G & D COMPLIANCE",1
"Arcstone Financial Inc.",1
"Olson Associates PC",1
"Salter Enterprises, Inc.",2
"National Recovery Association, LLC.",1
"Eagle Phillips LLC",1
"Brian P. Mickles, PLLC",2
"NATIONAL NETWORK NEGOTIATOR'S INC.",1
"Student Relief LLC",1
"Deinde Online Services, LLC",4
"The Chusid Law Firm, LLC",1
"T & O Recoveries, LLC",1
"Resource Marketing Corp. LLC",1
"Expert Credit Sweeps",3
"Hertzmark, Crean & Lahey, LLP.",1
"Cawthorn, Deskevich & Gavin, P.c.",3
"CarsNow LLC",1
"NEW CENTURY FINANCIAL, L.L.C.",1
"World-Wide Communication Center",1
"Monarch Title, Inc.",1
"LA Financial Services, Inc.",3
"MORTGAGE LINK, INC., THE",1
"Richard A. Weidel Corporation",2
"Brady & Cissne Law",1
"Insight Financial Services LLC",2
"Sonali Exchange Co. Inc",1
"Cliff's Finance Co., Inc.",4
"Davis & Amaral Mortgage Consultants, Inc.",1
"ATLANTIC COAST FINANCIAL SERVICES, INC.",1
"CARTER-JONES COLLECTION SERVICE, INC",2
"Universal Capital Services, Inc.",1
"Kendris, LLC",1
"First Financial of Tennessee Home Loans LLC",1
"COMMUNITY MORTGAGE CORPORATION",1
"AMERICA'S LOAN COMPANY, LLC",1
"DARCARS AUTOMOTIVE  (Mariam Inc.)",1
"Posh RE Mortgage corporation",2
"Medical Debt Management",1
"Clarksville Mortgage Corporation",1
"ACCOUNTS ADVOCATE AGENCY",2
"Paragon Title & Escrow Company",1
"AAA Credit Bureau, Inc.",2
"Medical Services Inc",2
"United Mortgage Resolution, LLC",1
"Pando Mortgage, LLC",1
"Assets Recovered, LLC",1
"STREETER BROTHERS MORTGAGE CORPORATION",2
"Insta Financial",1
"TK Credit Recovery, Inc",1
"OVERSTOCK.COM INC",1
"Conville & Conville, PLLC",1
"The Law Offices of Jennifer McCoy, PC",1
"PB Financial Group Corp",1
"Benchmark Services, Inc.",1
"Breit Law Office, P.C.",3
"Pacific Coast Legal Services, Inc.",1
"Donald G. Karpowich, Attorney-at-Law, PC",1
"NATIONS TRUST MORTGAGE CORPORATION",1
"Ray Skillman GMC Truck Inc",1
"Fowler Bell PLLC",1
"Homefront Mortgages, Inc",2
"Northern Arizona Credit, Inc.",1
"CGB AGRI FINANCIAL SERVICES, INC.",1
"Mortgage South of Tennessee Inc.",1
"REGENCY MORTGAGE CORP.",2
"Kitch Acceptance Corp.",2
"Wembley's Inc",1
"Lou Harris Company",4
"C. Edwin Walker Attorney at Law",1
"Milby Law Offices P.A.",2
"PRIME MORTGAGE LENDING, INC",1
"Sum Investments, Inc.",2
"Central Atlantic Sales Inc. T/A Priority Buy Here Pay Here",2
"America's Mortgage Lender, L.L.C.",2
"Radiant Title, LLC",1
"Lou Spivack, P.C.",3
"Southeastern Mortgage Corporation",1
"COLLTECH INC",1
"SCENIC OAKS FUNDING",1
"Rogers, Morris & Ziegler, LLP",1
"Nexgen Services Inc",1
"ACG FUNDING INC",1
"Northern Credit Bureau",1
"AMERICAN FAMILY FUNDING GROUP Inc.",1
"TreeMac Funding Group, LLC",1
"DM Motors",2
"AD Capital LLC",1
"Williams Kastner & Gibbs PLLC",1
"AM Systems, LLC",2
"CREDIT BUREAU OF LANCASTER & PALMDALE, A CORPORATION",1
"i3 Lending, Inc",2
"DRAGAS MORTGAGE COMPANY",1
"Owl Automotive Group, Inc.",1
"CASH, INC.",1
"Dean Morris, L.L.P.",4
"CASTLE ROCK",3
"Prime Recovery LLC",4
"Handshake Home Loans Inc.",1
"Drake, Meyers, & Associates",2
"College Lending Solutions of Salem",2
"ALG Trustee LLC",1
"GREAT LAKES HIGHER EDUCATION CORPORATION",1
"Cheney Financial Services, Inc.",1
"G.R.S Holdings, Inc",1
"1st Capital Mortgage, LLC",1
"RESIDENTIAL MORTGAGE CORP",1
"Simpson, Uchitel & Wilson, LLP",1
"Suna Capital III, LLC",1
"S&S Professionals LLC",1
"HJ Ventures, LLC",1
"First Coast Auto Finance",1
"ML Credit Holdings, LLC",3
"Tal Lewis Incorporated",2
"245 Holdings LLC",1
"All Reverse Mortgage, Inc.",2
"Resolute Credit, LLC",2
"Automatic Financing, Inc.",1
"Settle It Inc.",1
"Law Office Of Steven D. Silverstein",1
"Nae-Mo Corp dba Matthews & Michaels",2
"Law Offices of Sarah A Ponath LLC",1
"Abbey Mortgage of Ocala Inc.",1
"SMI Lending, Inc.",2
"Land Title Guarantee Company, a Colorado corporation",1
"The Law Office of Michael A. Priddle, LLC",1
"NORTHERN HILLS COLLECTIONS INC.",4
"Possible Financial Inc",5
"J & K Financial Services, LLC",1
"Metro Denver Title, LLC",1
"River City Financial, LLC",1
"Total Debt Assistance Group",1
"Andesite Finance Company, LLC",2
"Landis Law",1
"McManamy, McLeod, Heller, LLC",1
"Gulf Coast Real Estate Emerald Coast, LLC,  d/b/a Motto Mortgage On The Gulf",1
"Real Estate Solutions",2
"Tsarouhis Law Group, LLC",2
"Kwest Mortgage Group,  LLC",2
"Windy City Capital Management, LLC",1
"The Home Loan Expert LLC",1
"DSW Mortgage, Inc.",1
"DELMAR FINANCIAL COMPANY",1
"TCAR Inc",3
"METRO ISLAND MORTGAGE INC.",1
"Miciul & Associates, LLC",1
"Trinity Reverse Mortgage",2
"Anchor Mortgage, LLC",1
"Cunningham Law Inc.",2
"Giordano, DelCollo, Werb & Gagne, LLC",1
"Mortgage Lending Masters, LLC",1
"W. M. BEVCO, INC.",1
"Allied Recovery Solutions, Inc.",3
"Intelligent Business Solutions, LLC",1
"Gemini Direct LLC, dba Credit Innovation Group",1
"Infinity Capital Group",6
"Alliance Credit Counseling, Inc.",1
"Law Office of Steven A. Booska",1
"Amos Financial LLC",3
"Personalized Collection Services",2
"Kyle Law Group, P.C.",2
"Jersey Mortgage Company of New Jersey, Inc.",2
"Michael C. Koehn, S.C.",1
"Business Starters, Inc",2
"Your Credit Loans, Inc.",3
"ACS Financial LLC",1
"Peoples Credit Inc.",1
"Western Mortgage Services",1
"Ikon Financial Group, LLC",3
"Hart West Financial, Inc",1
"CREDIT CARD MANAGEMENT SERVICES INC",1
"U.S. Home Capital, LLC",1
"Omni Group, Inc",1
"GIBSON MORTGAGE, INC.",1
"DeWitt Mortgage Services and Property Management, LLC",2
"Diversified Company",1
"IT'S TIME - CREDIT REPAIR LLC",2
"Cactus Jacks Auto Sales",3
"Maryville Collection Service Incorporated",1
"Case Law Firm, S.C.",2
"Luper Neidenthal & Logan, A Legal Professional Association",1
"Curtin Law Firm, P.C.",1
"HANNA, LLP | HANNA LAW, PLLC",1
"Title on Demand of NJ Inc.",1
"Robert P. Tomasso Mortgage Company, Inc",1
"ANDERSON FINANCIAL GROUP",1
"Rosen & McCarthy, LLP.",1
"Receivable Recovery Partners LLC",1
"AE Tradings Inc",1
"TESLA MOTORS INC",3
"ST. JAMES MORTGAGE CORP.",1
"The Best Credit Group",1
"Keystone Lending Alliance, LLC",1
"Unsecured Loan Specialists of North America, LLC",1
"SOUTHERN FIDELITY MORTGAGE",1
"Fitzgerald & Campbell, A Professional Law Corporation",1
"Advantage Credit Counseling Service, Inc.",1
"Sentry Abstract Co.",1
"Core Mortgage Services, LLC",1
"Vivix Credit Solutions",1
"NEIGHBORHOOD HOUSING SERVICES OF NEW YORK CITY, INC.",1
"E. Margriet Langenberg, P.C.",2
"JUMBO LOAN EXPERTS LLC",1
"LeVasseur Dyer & Associates, PC",1
"Stein Law, P.C.",1
"Mortgage Professionals of Sun Valley, Incorporated",1
"FIRST PRIORITY MORTGAGE, INC.",2
"First Sun Financial Inc",2
"Progressive Debt Relief LLC",2
"Asset Mediation Partners LLC",2
"Escrow and Title Services, Inc.",1
"Guy C. Zukeran, Attorney at Law, LLLC",1
"The Money Company",1
"Fink & McGregor Mortgage, LC",1
"J & C Auto Sales of Collier County, LLC",1
"CENTENNIAL LENDING, LLC",4
"Town & Country Mortgage Services, INC.",1
"CashLink USA",2
"EVERETT ASSOCIATION OF CREDIT MEN, INC.",1
"WCS FUNDING GROUP, INC.",1
"Accelerated Recovery Services, Inc",2
"North Arkansas Abstract & Title Co., Inc.",2
"The Lueder Law Firm, LLC",2
"FIRST CHOICE LENDING SERVICES, LLC",3
"BG Lenders Service LLC",1
"CALVARY PORTFOLIO",1
"Laurens Financial Services Inc",2
"THE GUERRINI LAW FIRM",1
"Student Advisor Center LLC",2
"A-1 Fast Cash of Tucker, Inc",1
"FIRST OHIO HOME FINANCE, INC",2
"Lota Financial Group, Inc.",1
"Financial Services of America",1
"LEXINGTON LAW FIRM",1
"Results Mortgage, LLC",1
"Urban Settlement Services, LLC",2
"Colten Mortgage",4
"Atlantis National Services, Inc.",1
"Allied California",1
"Doonan, Graves & Longoria",1
"SimpliFast Lending, LLC",1
"Mortgage Team 1, Inc.",1
"Figliola & Romano, LLC",1
"Good Friend Mortgage Inc.",1
"River Ridge Financial Solutions, LLC",2
"The Lending Source, Ltd.",1
"Audubon Holdings Group",2
"Southern Loans, Inc.",2
"First Help Financial, LLC",1
"Efficient Recovery Services, LLC",1
"EZ Loans, Inc.",1
"The Collection Bureau Inc.",2
"LAW OFFICES OF ROBERT S. PERRY, P.C.",1
"Galin Mortgage Lending, LLC",1
"QUIK FUND INC.",1
"Ascend One Corporation",1
"Guardian Angel Mortgage",1
"LIGHTHOUSE MORTGAGE COMPANY INC",1
"Medisys Ventures",1
"Tayne Law Group, P. C.",1
"Tuten Title and Escrow, LLC",1
"Friedman & Associates, LLC",1
"Evans & Green LLP",1
"Unified Retrieval Solutions llc",3
"SOUTH BAY ACCEPTANCE CORPORATION",2
"Credit and Receivables Services Inc.",4
"Portfolio America Asset Management, LLC",6
"Castle Restorations, Inc.",1
"Old Dominion Mortgage Co., Inc",1
"Certified Direct Solutions",1
"Haines & Krieger, LLC",1
"Elite Financial Services, Inc (MA)",3
"City First Mortgage Services, LLC.",2
"Counsel Mortgage Group, LLC",1
"Alpine Mortgage Services, LLC",2
"MotoRefi, Inc.",1
"Direct Lending Group, Inc",1
"Brady Distributing Company",1
"Infinity Holding Corporation",1
"F C Tucker Company, Inc",1
"Atlantic Mortgage and Funding, Inc.",2
"SML Capital, Inc.",2
"Minnesota Home Financial, LLC",1
"TRN Financial LLC",1
"GLOBAL SOLUTION BIZ LLC.",4
"OAKTREE FUNDING CORPORATION",1
"Dearden's",1
"BAYSIDE CREDIT",2
"Sterling  Hill Financial",1
"CORPORATE INVESTORS MORTGAGE",1
"DAS Inc",2
"Doral Capital Corporation",1
"Direct Cash LLC",1
"William Lyon Mortgage LLC",2
"First Class Autos Inc",1
"Amerivest Mortgages",1
"Atlas Capital, Inc.",2
"Center Street Finance, LP dba CSF Servicing",2
"Premier Auto Sales, Inc.",1
"Law Offices of Paul L. Marks, P.L.L.C",1
"Tenant Data Services Inc",5
"Student Loan Control, LLC",2
"FIRST LIBERTY FINANCIAL MORTGAGE, A DIVISION OF EVANSVILLE TEACHERS FEDERAL CREDIT UNION",1
"Heritage Finance Company, Inc.",2
"Millsap & Singer, LLC",5
"HOME LENDING GROUP, LLC, THE",1
"Alvamar Financial",1
"Anthony J. Musto",1
"WVH, LLC",2
"Law Offices of Erik Graeff, PC",1
"Puerto Rico Consumer Debt Management Co., Inc.",3
"Sky Blue Financial Services, Inc.",1
"Curo Inc.",2
"Emergi-Cash",2
"Mike Rome Holdings LLC",2
"Continental Currency Services, Inc.",2
"Bifulco and Associates, P.C.",1
"Jeffrey R. Lankenau, Attorney at Law",1
"ITALBANK INTERNATIONAL, INC.",2
"J Martinez Investments LLC",1
"SETERUS INC",1
"Continental Credit Corporation",2
"POINT ESCROW, LLC",1
"CF Funding",4
"Inlanta Mortgage, Inc.",1
"Comenity Capital Bank",2
"Cheryl A. Warzynski PLLC",1
"Global American Title Agency, Inc.",1
"Auto Acceptance, LLC",1
"Avrutis & Foeller, P.A.",2
"Brandywine Professional Services",1
"Evergreen Anchor Capital LLC",1
"BON TERRE CREDIT, LLC",1
"US Military Loans, Inc.",1
"Hogan Capital II, LLC",3
"Revenue Recovery Systems",1
"American United Mortgage Corporation",1
"STL HOLDING COMPANY, LLC",1
"Vericred Holdings, Inc.",2
"Express Auto Finance, LLC",1
"Town Financial Corporation",4
"Lenders Valuation Services",1
"Quality Title, Inc.",1
"International Debt Buying Consultants, LLC",2
"David B. Schumacher, P.C.",2
"Nations Holding Company",1
"Santo Domingo Motors Inc.",2
"Seth L. Goldner PC",1
"First Peachtree Finance, Inc.",1
"JFK FINANCIAL INC.",1
"SECURITY NATIONAL TITLE AND ESCROW, LLC",1
"Elderlife Financial Services, LLC",4
"Capital Home Advocacy Center",3
"Auto Pro Title Pawn, Inc.",1
"LANDMARK MORTGAGE OF TAMPA BAY, INC",1
"Thompson O'Brien Kemp & Nasuti, P.C.",3
"GARDEN STATE HOME LOANS INCORPORATED",1
"NorAm Capital Holdings, Inc.",3
"LoanSnap, Inc.",1
"Thomason Law Firm, LLC",1
"Lannister Law Corporation",1
"JOHN GIBSON AUTO SALES, INC.",2
"Equity Settlement Services, Inc.",2
"Independent Finance Company LLC",2
"Equity Auto Finance, Inc.",2
"Apex Funding Group, Inc.",1
"Gillman Interests, Inc.",1
"PEOPLES UNITED BANK",1
"Roadrunner Account Services, LLC",1
"INDEPENDENT BANK GROUP, INC.",1
"Homelife International Mortgage Co. Inc.",2
"MCCABE, TROTTER & BEVERLY, PC",2
"NATIONAL ASSET MORTGAGE, LLC",4
"SUMMIT TITLE SERVICES CORP.",1
"Jon B. Sage, P.A. dba Sage Law Offices",2
"Gallatin Valley Financial",4
"Mankin Law Group",1
"Omni-Fund, Inc.",1
"Credit Restoration of Texas",1
"Coast Acceptance Corporation",1
"Phoenix Asset Group LLC",2
"Mary Mae Financial, LLC",1
"Real Title Agency, LLC",2
"Oregon Credit & Collections Bureau, Inc.",1
"Horizon Debt Group, LLC",5
"Great State Mortgage, LLC",1
"Kelly Harvey P.C.",1
"City First Mortgage Corp",3
"NuView Financial Services, LLC",3
"Lighthouse Realty & Mortgage, Inc",1
"Financial Services of Mississippi, Inc.",1
"Retailers' Credit Association of Grass Valley, Inc.",1
"Envios de Valores La Nacional Corp.",4
"Good Credit For Life, LLC",1
"AXIS FINANCIAL SERVICES, INC.",1
"Whitewater Recovery Solutions, LLC",1
"Credit Collections Services, Inc.",2
"Neighborhood Title Loans I",3
"MORTGAGES UNLIMITED, INC.",1
"Greenberg & Sada PC",1
"Arapahoe Motors",1
"Fountain, Schultz & Associates, P.L.",1
"Titan Title & Closing, LLC",2
"Greeneville Collection Service, Inc.",2
"Waterfall Revenue Group",92
"Greene Finance Corporation",2
"Granite Creditors Service, Inc.",7
"Weinstock, Friedman, & Friedman, P.A.",4
"The Lemoine Group, Inc",2
"Globe Loan Company of Moultrie, Georgia, Inc",1
"Cody Barden Daniels & Palo, Inc.",1
"El Paisano Motors Inc.",1
"Class Financial",2
"DCB Financial LLC",2
"60 Month Loans, Inc.",1
"Real Property Title Group LLC",2
"National Settlement Services, Inc",3
"Bluegrass Credit Corporation, Inc.",1
"TEXAS CAPITAL BANCSHARES, INC.",2
"AMERICAN MIDWEST MORTGAGE",1
"Homespire Mortgage Corp",3
"Red Rock Mortgage & Lending LLC",2
"Money Hungry, LLC",1
"Foundation Realty Group",1
"American Eagle Mortgage Co. Inc. (FL)",1
"Creditors Specialty Northwest, Inc.",1
"The Loan Tree Corp",1
"MANN FINANCIAL INC.",5
"Michael J Adams PC",4
"American Financial Mortgage Services, Inc.",1
"Louis M. Turchiarelli Attorney at Law",1
"Simple Loans",1
"The Law Office of Richard M Kitrick Esq. LLC",1
"Koster's Cash Loans",4
"CENTRAL BANC MORTGAGE CORPORATION",1
"Sapphire Marketing Group, Inc.",1
"International Financial Management",2
"MONEY SERVICE CENTERS OF HAWAII",1
"Guaranty Solutions LLC",1
"Check First Inc",1
"Atlas Mortgage Partners, LLC",2
"States Resources Corp.",1
"Douglass & Associates Co. LPA",4
"Segan, Mason & Mason, P.C.",1
"Olympus Law Firm, PLLC",1
"Paris and Paris, LLP",4
"Asset Acquisition Group, LLC",5
"Advanced Portfolio Group LLC",4
"Gateway Recovery Solutions",1
"COMMERCIAL SERVICES GROUP, INC.",3
"Wisconsin Housing and Economic Development Authority",1
"Care Cash Express LLC",1
"Law Office of Alisa Richman",1
"Lawyers Title of Cincinnati, Inc.",1
"Law Offices of Phillip B. Ochs, Esq.",1
"The Commercial Collection Corporation of New York, Inc.",4
"American Student Loan Advocates",2
"Credit Bureau of Jamestown, Inc.",6
"Portview Billing Services, LLC",1
"Habitat for Humanity of Boulder Valley",1
"GRANDE HOMES INC",1
"CIRN, INC.",2
"First Title & Escrow, Inc",3
"GREATER SUBURBAN ACCEPTANCE CORPORATION",3
"A.L. Babbs and Associates, LLC",1
"Keystone Credit Services LLC",2
"CMM of Louisiana, LLC",2
"ENRAMEX INC",2
"First Consumers Financial LLC",2
"Vision Holdings",1
"TJR Asset Recovery LLC",1
"PRIORITY HOME MORTGAGE, L.P.",2
"Blitz Ventures, LLC",1
"Professional Recovery, Inc.",1
"Debt Recovery Specialists",5
"Student Debt Consolidation LLC",2
"SIRY INC., DBA SIRY AUTO GROUP",1
"Pittenger Law Group, LLC.",7
"Auto Finance Center",1
"Law Firm of Katz and Associates, PLLC",3
"Accountant Exchange Group",1
"CASH IN A FLASH INC",1
"American International Finance, Inc.",4
"Future Financial Inc.",2
"New Cornerstone Mortgage, LLC",1
"Debt Solutions Inc",1
"REVERSE MORTGAGE USA, INC.",2
"Southwest Mediation Service",3
"TPI ASSET MANAGEMENT, LLC",1
"TriMark Financial Solutions DBA Distressed Mortgage Solutions",1
"Johnson, Blumberg & Associates, LLC",4
"ALG",1
"The Mortgage Specialists, Inc.",2
"FinCo Services Inc DBA Current",4
"FLORIDA HOME TRUST MORTGAGE",2
"Lil' Wave Financial, Inc.",8
"1ST PREFERENCE MORTGAGE CORP",2
"Central Professional Services, Inc.",2
"Krawczyk, Duginski & Rohr, S.C.",1
"Investment Evolution Corporation",2
"First Student Services",2
